action_0,action_1,action_2,action_3,action_4,action_5,action_6
-0.0918497,0.0174076,-0.412559,-0.25153,-0.478708,0.354204,0.351838
-0.117918,0.0599333,-0.43434,-0.327386,-0.493971,0.334626,0.339526
-0.157152,0.124155,-0.44536,-0.373385,-0.501465,0.330081,0.319744
-0.211255,0.20287,-0.467035,-0.435755,-0.508252,0.338314,0.309066
-0.244945,0.241254,-0.501469,-0.495091,-0.5087,0.349398,0.321298
-0.286398,0.278985,-0.551539,-0.550526,-0.512001,0.357038,0.35851
-0.335227,0.284291,-0.590165,-0.595192,-0.515966,0.335595,0.404394
-0.357533,0.28296,-0.613627,-0.623494,-0.518422,0.296996,0.432007
-0.363068,0.287583,-0.623036,-0.638056,-0.520662,0.267695,0.435142
-0.317383,0.306798,-0.615162,-0.638243,-0.522126,0.264363,0.403945
-0.252166,0.295816,-0.596847,-0.618002,-0.509377,0.27797,0.346323
-0.198332,0.268787,-0.579426,-0.595627,-0.491055,0.311852,0.291496
-0.15706,0.251748,-0.565977,-0.586174,-0.476395,0.336361,0.266911
-0.169362,0.260942,-0.577223,-0.610598,-0.4756,0.330565,0.298247
-0.206503,0.294497,-0.598165,-0.650352,-0.49114,0.329897,0.36138
-0.210676,0.288867,-0.597484,-0.659176,-0.486155,0.357126,0.38188
-0.16345,0.276675,-0.570536,-0.644391,-0.472905,0.406078,0.358029
-0.0635336,0.260559,-0.513432,-0.602431,-0.449031,0.449124,0.27362
0.0646592,0.22791,-0.420713,-0.528198,-0.41145,0.486284,0.128895
0.183379,0.211521,-0.335706,-0.470656,-0.378701,0.502899,-0.00658841
0.188844,0.225314,-0.321808,-0.48442,-0.374891,0.519668,0.0143349
0.125886,0.294587,-0.406888,-0.581499,-0.419997,0.529164,0.223992
-0.00531339,0.30073,-0.51683,-0.660255,-0.44689,0.490438,0.415578
-0.0825552,0.294551,-0.566958,-0.678702,-0.46257,0.448121,0.495884
0.000979893,0.287041,-0.54327,-0.665591,-0.443562,0.466342,0.455636
0.108219,0.32835,-0.405341,-0.599272,-0.411379,0.518542,0.318466
0.248569,0.296521,0.0905395,-0.428358,-0.27456,0.54247,-0.100001
0.305134,0.215021,0.35758,-0.267256,-0.126852,0.54547,-0.257002
0.304356,0.216343,0.36157,-0.302734,-0.148682,0.554402,-0.240519
0.277819,0.347929,0.032284,-0.517667,-0.297777,0.572389,0.091339
0.123183,0.294736,-0.525826,-0.649971,-0.422697,0.449016,0.48863
0.112739,0.334144,-0.595819,-0.656424,-0.47966,0.395895,0.609331
0.140567,0.350482,-0.600147,-0.645737,-0.507155,0.43897,0.602973
