set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6
1.9326754,-1.1206021,-1.7457277,-1.1555156,1.8357017,1.1796963,-0.8967669,1.8713595,-1.0945257,-1.7684581,-1.146773,1.8817849,1.1257235,-0.9134273
1.9470037,-1.1313713,-1.7437861,-1.1608524,1.8248122,1.1812963,-0.89332664,1.8853117,-1.1001371,-1.7635505,-1.1491419,1.8738561,1.1285368,-0.9127454
1.9604672,-1.1383771,-1.7372907,-1.1697083,1.8161464,1.1842012,-0.89222497,1.8988711,-1.106376,-1.7590492,-1.1514841,1.8658795,1.1315962,-0.9119329
1.9746091,-1.1494548,-1.7280463,-1.1774123,1.8083392,1.1868796,-0.8950477,1.9122301,-1.1133169,-1.7544715,-1.1544558,1.8578191,1.134833,-0.9110307
1.9886428,-1.1615238,-1.7290875,-1.1776562,1.7990725,1.1917773,-0.8977145,1.9255797,-1.1210626,-1.7498424,-1.1580855,1.8496461,1.1382128,-0.91008943
2.0015433,-1.1686509,-1.7223045,-1.1817962,1.7917683,1.1966734,-0.89732194,1.9389979,-1.1294245,-1.7451313,-1.1621882,1.8413911,1.141728,-0.9091348
2.0147395,-1.1835743,-1.7232422,-1.1744722,1.7850748,1.1990286,-0.8932217,1.9524828,-1.1384271,-1.7405918,-1.1660086,1.833138,1.1453596,-0.9081506
2.0270965,-1.1921637,-1.723072,-1.1738795,1.7749457,1.2036344,-0.88726974,1.9659582,-1.1479181,-1.7365367,-1.168984,1.8248754,1.1491076,-0.9070949
2.040148,-1.2061012,-1.7246859,-1.1583952,1.7664866,1.2088417,-0.8845379,1.9793631,-1.1578764,-1.7332618,-1.1702162,1.8165803,1.1529776,-0.9059476
2.0515802,-1.2202461,-1.7409012,-1.1391516,1.7564946,1.2147124,-0.88262236,1.9925886,-1.168384,-1.7316177,-1.1687018,1.8082108,1.1569849,-0.90470976
2.0589032,-1.2346567,-1.7582606,-1.1081946,1.7468522,1.2209349,-0.87266827,2.0053473,-1.1795248,-1.7325504,-1.1632677,1.7997289,1.161141,-0.9033269
2.0600548,-1.2505457,-1.7794193,-1.0889211,1.739994,1.226935,-0.86167926,2.0170698,-1.1913942,-1.7368133,-1.153668,1.7912087,1.1654555,-0.90172094
2.0652869,-1.2632252,-1.7876467,-1.075643,1.7355251,1.2330023,-0.85607547,2.0274153,-1.2038988,-1.7440994,-1.1407686,1.782824,1.1699091,-0.89985746
