joint_0_raw,joint_0_standard_sg,joint_0_realtime_sg,joint_1_raw,joint_1_standard_sg,joint_1_realtime_sg,joint_2_raw,joint_2_standard_sg,joint_2_realtime_sg,joint_3_raw,joint_3_standard_sg,joint_3_realtime_sg,joint_4_raw,joint_4_standard_sg,joint_4_realtime_sg,joint_5_raw,joint_5_standard_sg,joint_5_realtime_sg,joint_6_raw,joint_6_standard_sg,joint_6_realtime_sg
0.859,0.8589623809523796,0.8662809177489164,-0.392916,-0.3929098961038955,-0.38403230303030245,1.03562,1.0358629870129854,1.0431480086580072,0.998032,0.9976826060606045,0.9879689740259727,2.97169,2.9716881818181777,2.9692725974025933,-1.14242,-1.1423349783549765,-1.1737822510822495,3.07247,3.072470909090905,3.0724630735930694
0.85669,0.8566864935064922,0.8646894329004318,-0.395297,-0.3952961601731596,-0.38604239826839776,1.03412,1.0344369696969682,1.0419503030303015,0.997675,0.9974373116883104,0.9911401038961024,2.9722,2.9722039393939355,2.9699504761904714,-1.13719,-1.1371077489177472,-1.1637251082251066,3.07247,3.0724699999999956,3.0724677922077874
0.854251,0.8542772380952368,0.8629650346320333,-0.397659,-0.39764634632034573,-0.3882256753246748,1.03361,1.033890692640691,1.0400980086580072,0.995847,0.9957559393939379,0.9941833722943706,2.97269,2.972699826839823,2.970572337662333,-1.13256,-1.1324868831168815,-1.1553777922077908,3.07247,3.0724699999999956,3.0724704329004284
0.851769,0.8517754069264056,0.8610604805194794,-0.399942,-0.3999183506493501,-0.3905339350649345,1.03414,1.034173766233765,1.037893982683981,0.992793,0.9927781385281371,0.9965353939393924,2.97317,2.9731804329004285,2.9711463636363598,-1.1285,-1.1283299134199118,-1.1483438095238079,3.07247,3.072470909090905,3.0724703030302987
0.849237,0.8492386103896092,0.8589623809523796,-0.402092,-0.4020756060606055,-0.39290989610389554,1.03517,1.0351304761904747,1.0358629870129856,0.988814,0.9887902510822496,0.9976826060606045,2.97364,2.9736445021644977,2.9716881818181773,-1.12494,-1.124368917748916,-1.1423349783549765,3.07247,3.0724703030302987,3.0724709090909044
0.846689,0.8467003679653667,0.8566864935064923,-0.404119,-0.40409954545454485,-0.39529616017315955,1.03657,1.0364734199134182,1.0344369696969682,0.9841,0.9841347532467517,0.9974373116883101,2.97409,2.974082510822506,2.972203939393935,-1.12191,-1.1207007792207775,-1.1371077489177472,3.07247,3.072469523809519,3.0724699999999956
0.844147,0.8441762424242413,0.8542772380952368,-0.406005,-0.4059858181818176,-0.39764634632034573,1.03794,1.0378575757575743,1.0338906926406912,0.97902,0.9790931125541111,0.9957559393939381,2.97449,2.9744825108225066,2.9726998268398224,-1.11964,-1.119219913419912,-1.1324868831168815,3.07247,3.072466580086576,3.0724699999999956
0.84167,0.8416679956709945,0.8517754069264057,-0.40776,-0.4077451341991336,-0.39991835064935,1.03941,1.0391402597402584,1.034173766233765,0.97385,0.9739321818181805,0.9927781385281371,2.97485,2.974839177489174,2.973180432900428,-1.119,-1.1212334199134184,-1.1283299134199118,3.07246,3.0724632467532427,3.072470909090905
0.839198,0.8391849220779208,0.8492386103896091,-0.409415,-0.40941283116883054,-0.40207560606060555,1.04048,1.0403550216450204,1.0351304761904747,0.968771,0.9688538961038946,0.9887902510822495,2.97515,2.9751472727272685,2.9736445021644977,-1.12362,-1.1271910389610373,-1.1243689177489162,3.07246,3.07245887445887,3.0724703030302987
0.836739,0.8367256233766222,0.8467003679653666,-0.411021,-0.4110251645021639,-0.40409954545454485,1.0414,1.0415657575757562,1.0364734199134185,0.963922,0.9640039913419899,0.9841347532467516,2.97541,2.9754144588744547,2.9740825108225066,-1.13696,-1.1366594805194787,-1.1207007792207775,3.07245,3.072453246753242,3.072469523809519
0.834293,0.8342954588744576,0.8441762424242412,-0.412593,-0.4126232857142851,-0.40598581818181756,1.04278,1.0429338528138514,1.0378575757575743,0.959429,0.9594483290043276,0.9790931125541112,2.97565,2.9756507359307314,2.974482510822507,-1.15022,-1.1484408658008642,-1.1192199134199117,3.07245,3.0724465800865755,3.0724665800865756
0.831896,0.8318982121212108,0.8416679956709944,-0.414222,-0.41424141558441496,-0.40774513419913366,1.04446,1.0445843290043275,1.0391402597402581,0.955197,0.9552038311688298,0.9739321818181804,2.97585,2.975862121212117,2.974839177489173,-1.16199,-1.160752467532466,-1.1212334199134184,3.07244,3.0724395238095195,3.0724632467532422
0.829544,0.8295581125541114,0.8391849220779208,-0.415879,-0.41589910822510767,-0.40941283116883054,1.04638,1.0466254978354963,1.0403550216450201,0.951262,0.9512572987012973,0.9688538961038946,2.97605,2.9760574891774847,2.9751472727272685,-1.17189,-1.1716012554112536,-1.1271910389610373,3.07243,3.072429393939389,3.07245887445887
0.827275,0.8272843506493495,0.8367256233766222,-0.417573,-0.4175864935064929,-0.41102516450216386,1.04859,1.0488619913419899,1.041565757575756,0.947617,0.9475975108225094,0.9640039913419899,2.97622,2.9762307359307316,2.9754144588744547,-1.17998,-1.1799007792207774,-1.1366594805194787,3.07242,3.0724187878787834,3.0724532467532426
0.825067,0.8250813939393928,0.8342954588744576,-0.419293,-0.4192801948051942,-0.4126232857142852,1.05074,1.0507785714285698,1.0429338528138512,0.944218,0.9442121774891762,0.9594483290043276,2.97636,2.976367186147182,2.9756507359307314,-1.18641,-1.1864613419913403,-1.1484408658008642,3.07241,3.072409870129866,3.0724465800865755
0.822941,0.8229361601731591,0.831898212121211,-0.420997,-0.42094818614718554,-0.41424141558441496,1.05228,1.0518783549783535,1.0445843290043275,0.941089,0.9411200173160159,0.9552038311688298,2.97646,2.9764509956709917,2.975862121212117,-1.19141,-1.1915729437229419,-1.1607524675324656,3.0724,3.072404372294368,3.0724395238095195
