ball_x,ball_y,ball_z
0.552954,0.1196,-0.0514047
0.552962,0.119591,-0.0514312
0.55298,0.119578,-0.0514323
0.553012,0.119575,-0.0514543
0.553028,0.119573,-0.0514708
0.553027,0.119571,-0.0514479
0.553015,0.119568,-0.0514217
0.553015,0.119576,-0.0513995
0.553,0.119561,-0.0513887
0.552989,0.119562,-0.0513982
0.552972,0.119556,-0.0514121
0.552976,0.119559,-0.0514283
0.552982,0.119589,-0.0514663
0.552993,0.119575,-0.0514796
0.552995,0.119594,-0.0514904
0.553006,0.119594,-0.0514715
0.553019,0.119601,-0.0514432
0.553005,0.119598,-0.0514143
0.55301,0.119585,-0.0514063
0.553009,0.119585,-0.0514062
0.553005,0.119569,-0.0514038
0.552993,0.119572,-0.0514315
0.552987,0.119559,-0.051452
0.552974,0.119583,-0.0514676
0.552985,0.119611,-0.0514804
0.552977,0.119609,-0.0514537
0.552988,0.119612,-0.0514469
0.552991,0.119604,-0.0514307
0.552989,0.119601,-0.0514264
0.552997,0.119587,-0.0514078
0.553004,0.119572,-0.0514066
0.553007,0.119568,-0.0514321
