ball_vx,ball_vy,ball_vz
-0.00569416,-0.0036838,-0.00853536
-0.00417267,-0.00348843,-0.00900973
-0.00269936,-0.0032909,-0.00943712
-0.00128481,-0.00309451,-0.00979535
9.17411e-05,-0.00288623,-0.0100973
0.0014395,-0.00266017,-0.010347
0.00276146,-0.00242242,-0.0105615
0.00405334,-0.00217736,-0.0107514
0.00531802,-0.00192363,-0.0109171
0.00655498,-0.00166021,-0.0110597
0.00776606,-0.00138856,-0.0111748
0.00894583,-0.00111023,-0.0112609
0.0100929,-0.00082559,-0.0113079
0.0112042,-0.000536557,-0.011311
0.0122852,-0.000242472,-0.0112718
0.0133405,5.97957e-05,-0.0111923
0.0143839,0.000376859,-0.0110707
0.015416,0.000712037,-0.0108992
0.0164387,0.0010666,-0.0106726
0.0174499,0.00144062,-0.0103872
0.0184383,0.00182668,-0.0100612
0.0193922,0.00221671,-0.00971641
0.0203058,0.00259125,-0.00939341
0.0211801,0.0029461,-0.00911644
0.0220216,0.00327833,-0.00889055
0.0228165,0.0035847,-0.00872095
0.0235418,0.00385692,-0.0085899
0.024217,0.00412648,-0.00840675
0.0248627,0.00439277,-0.00817359
0.0254783,0.00465444,-0.00792197
0.0260446,0.00489823,-0.00764281
0.0265811,0.00514065,-0.0073385
0.0270997,0.00538026,-0.0070307
0.0275933,0.00561408,-0.00673117
0.0280595,0.00584035,-0.00643804
0.0284993,0.00606151,-0.00614959
0.0289178,0.00627805,-0.00586038
0.0293148,0.00649465,-0.00556124
0.0296929,0.00670929,-0.00524863
0.0300472,0.00692303,-0.00491562
0.0303807,0.00713512,-0.00456353
0.0306929,0.00734562,-0.00419179
0.0309958,0.00756086,-0.00381712
0.0312834,0.00776921,-0.00345681
0.0315524,0.00797329,-0.00309505
0.0317993,0.00817732,-0.00271673
0.03203,0.00837976,-0.00232183
0.0322451,0.00858597,-0.00191631
0.0324431,0.00879212,-0.0015064
0.032621,0.00899945,-0.00109677
0.0327747,0.00920002,-0.000682415
0.0329034,0.00939292,-0.000276683
0.0330088,0.00957494,0.000118921
0.0330874,0.00975165,0.000521028
0.033148,0.0099346,0.000946875
0.0331874,0.0101168,0.00138955
0.0332084,0.0102956,0.0018528
0.0332148,0.0104786,0.00233317
0.0332136,0.0106687,0.00283116
0.0332117,0.0108779,0.00334392
0.0332107,0.0110911,0.00385477
0.033188,0.0112729,0.00434832
0.0331377,0.0113983,0.0047997
0.0330315,0.0115038,0.00529413
0.0329348,0.0116734,0.00585967
0.0328963,0.0119232,0.00644396
0.0329161,0.0121637,0.00696286
0.0329473,0.0123225,0.00734353
0.0327939,0.0122883,0.00773015
0.0324845,0.0121399,0.00811649
0.0321465,0.0120158,0.00850059
0.0318981,0.0120269,0.00885884
0.0316829,0.0120697,0.00923316
0.031522,0.0121141,0.00948038
0.0313518,0.0121343,0.00967716
0.0311528,0.0121288,0.00985109
0.0309295,0.0120702,0.0100049
0.0306768,0.0119731,0.0101409
0.0303816,0.0118134,0.0102526
0.0300383,0.0116122,0.0103586
0.0296528,0.0113859,0.0104465
0.0292186,0.0111448,0.0104694
0.0287289,0.0108982,0.0103892
0.0282038,0.0107507,0.0102486
0.0275744,0.010392,0.0100108
0.0270808,0.0101211,0.00960314
0.0265553,0.00988919,0.00932003
0.026001,0.00957307,0.00909879
0.0255669,0.00930026,0.00880997
0.0250704,0.00902478,0.00865507
0.0245325,0.00865318,0.0086066
0.0240831,0.00827462,0.00853338
0.0236253,0.00790349,0.00849986
0.0231556,0.00748515,0.00850593
0.0227686,0.00704528,0.00842867
0.0223707,0.00663112,0.00838107
0.021955,0.00619319,0.00835407
0.021545,0.00577617,0.00829849
0.0210946,0.00540494,0.00825436
0.0205795,0.00503452,0.00819281
0.0200292,0.0046818,0.00809148
0.0194487,0.00438164,0.00796839
0.0188426,0.00413207,0.00783448
0.0182099,0.00391209,0.00768263
0.0176049,0.00375119,0.00743944
0.0169836,0.00361595,0.00717921
0.0163509,0.00348068,0.00693285
0.0157281,0.00333056,0.00668483
0.0151236,0.00317205,0.00638973
0.014519,0.00300999,0.0060463
0.0139064,0.0028185,0.00567412
0.0132944,0.00258778,0.00529587
0.0127046,0.00234362,0.00488531
0.0121216,0.00206859,0.00444282
0.0115442,0.00177553,0.00398389
0.0109601,0.00146539,0.00352402
0.0103581,0.00112662,0.00310991
0.00975619,0.000766695,0.00270252
0.00915739,0.00040063,0.00231797
0.00852797,3.71857e-05,0.00201458
0.00789647,-0.000348624,0.00174172
0.00727004,-0.000740767,0.00147918
0.00661721,-0.00117257,0.0013179
0.00604815,-0.00154754,0.00109869
0.00537364,-0.00201171,0.00107115
0.00481865,-0.00244504,0.000849368
0.00419939,-0.00296774,0.000664947
0.00361875,-0.00349349,0.000371882
0.00309221,-0.00399984,-9.6397e-05
0.00258276,-0.00449261,-0.000771747
0.00212475,-0.00497343,-0.00164882
0.00167752,-0.00548531,-0.00265644
0.00124374,-0.00602042,-0.00374975
0.000774473,-0.0066243,-0.00486681
0.000332707,-0.00723704,-0.00604354
-0.000161953,-0.00786399,-0.00717128
-0.000676479,-0.00844525,-0.00822912
-0.00119525,-0.00899237,-0.00927981
-0.00172675,-0.00953329,-0.0103449
-0.00230604,-0.0100907,-0.0113893
-0.0029262,-0.0106689,-0.0123864
-0.00357792,-0.0112588,-0.0133406
-0.00425057,-0.0118641,-0.0142593
-0.0049451,-0.0124589,-0.0151266
-0.00565116,-0.013043,-0.0159468
-0.0063633,-0.0136098,-0.0167329
-0.0070753,-0.0141602,-0.0174938
-0.00779365,-0.0147027,-0.0182328
-0.0085206,-0.015249,-0.0189488
-0.00925548,-0.0157956,-0.0196444
-0.010022,-0.0163894,-0.0203056
