ball_qw,ball_qx,ball_qy,ball_qz
0.999982,0.00467306,0.000826748,0.00374999
0.999982,0.00479879,0.000820277,0.003481
0.999982,0.00481901,0.000774791,0.00354791
0.999982,0.00478831,0.000862057,0.00350816
0.999982,0.00474286,0.000905719,0.00344723
0.999982,0.00477745,0.000802035,0.00366553
0.999982,0.00480979,0.00075946,0.00363785
0.999983,0.00461094,0.00102919,0.00346633
0.999982,0.00467473,0.000997821,0.00355434
0.999983,0.00466828,0.000907742,0.00347862
0.999983,0.00450062,0.00109858,0.00345994
0.999981,0.0047663,0.000826239,0.00373196
0.999983,0.00453628,0.00111086,0.00351118
0.999983,0.00452353,0.00116521,0.00348571
0.999983,0.00439916,0.00122505,0.00356529
0.999982,0.00442642,0.00121483,0.00374229
0.999983,0.00445808,0.00121651,0.00360209
0.999982,0.00437775,0.00123711,0.00400231
0.999981,0.00440999,0.00136705,0.00417136
0.999981,0.00443406,0.0015944,0.00404853
0.99998,0.00433942,0.00152827,0.00434243
0.99998,0.00437107,0.00141667,0.0043088
0.999982,0.00437989,0.00146345,0.003833
0.999978,0.00429792,0.00178241,0.0047294
0.999979,0.00432851,0.00147243,0.00463807
0.999983,0.0043365,0.00209917,0.00332933
0.99998,0.0043702,0.00173733,0.00420119
0.999981,0.00440808,0.00134607,0.00408717
0.999981,0.00438087,0.00154281,0.00408319
0.999979,0.00433205,0.00196887,0.00451306
0.999981,0.00444635,0.00170064,0.00383193
0.999979,0.0043799,0.00186892,0.00436591
0.999979,0.00432226,0.00146203,0.00454722
0.999983,0.00430181,0.0020434,0.00339561
0.999981,0.0044798,0.00135651,0.00405808
0.99998,0.00434332,0.00140162,0.00438953
0.999979,0.0043359,0.00198863,0.00440622
0.999979,0.00428933,0.0014871,0.00454687
0.99998,0.00436276,0.00178054,0.00421693
0.999979,0.00430443,0.00183856,0.00454748
0.99998,0.00433728,0.00142588,0.00441406
0.99998,0.00438078,0.00129234,0.00429806
0.999978,0.00428736,0.00194196,0.00461882
0.999979,0.00434329,0.00187844,0.00448977
0.999979,0.0043351,0.00153579,0.00461303
0.99998,0.00437254,0.00179222,0.00426035
0.999982,0.00445391,0.00130775,0.0038701
0.99998,0.0044283,0.00142627,0.00433685
0.999979,0.0043215,0.00157302,0.00463705
0.999979,0.00430313,0.00144615,0.00454334
0.99998,0.0043259,0.00175384,0.00427641
0.99998,0.00431792,0.00181423,0.00426652
0.999978,0.00429571,0.00190536,0.00458408
0.999979,0.00432676,0.00150239,0.00462537
0.999981,0.00447092,0.00135489,0.00408171
0.999979,0.00430631,0.00184406,0.00454754
0.999981,0.0043659,0.00163009,0.00404061
0.999978,0.00431056,0.00159775,0.0047943
0.99998,0.00432756,0.00145174,0.00440046
0.999981,0.00441444,0.00171711,0.0039033
0.99998,0.00429894,0.00135114,0.00450496
0.99998,0.0043832,0.00141283,0.00443413
0.999979,0.00440884,0.00172064,0.00448711
0.99998,0.00431253,0.00149962,0.00447659
0.999979,0.00433479,0.00144918,0.00459134
0.999979,0.00434322,0.00139166,0.00471033
0.999979,0.00430929,0.00146489,0.00460212
0.999979,0.00432515,0.00150905,0.00469545
0.999979,0.00437889,0.00144109,0.00454783
0.999979,0.00434373,0.00154432,0.00455189
0.99998,0.00440666,0.00142561,0.00436833
