         67443 function calls (67411 primitive calls) in 6.575 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2455    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      338    0.000    0.000    0.001    0.000 {built-in method builtins.next}
      339    0.001    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      676    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:3680(_get_data)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/logging/__init__.py:2074(info)
      169    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:1704(mask_or)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/logging/__init__.py:1436(info)
      169    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:433(_check_fill_value)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/logging/__init__.py:1565(_log)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:650(_load_unlocked)
      169    0.000    0.000    0.001    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
     1183    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:1362(getmask)
        1    0.001    0.001    0.001    0.001 {destroyAllWindows}
     3739    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      170    0.001    0.000    0.001    0.000 {contourArea}
      169    0.000    0.000    0.001    0.000 /usr/lib/python3.8/contextlib.py:238(helper)
      169    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:842(exec_module)
      338    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/_ufunc_config.py:452(_no_nep50_warning)
     2366    0.001    0.000    0.001    0.000 {built-in method numpy.geterrobj}
      169    0.000    0.000    0.001    0.000 /usr/lib/python3.8/contextlib.py:108(__enter__)
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.8/threading.py:834(start)
      507    0.001    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:1283(_replace_dtype_fields_recursive)
        4    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/lib/utils.py:1032(safe_eval)
      169    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:3774(filled)
      169    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:3514(mask)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.8/ast.py:51(literal_eval)
        1    0.000    0.000    0.000    0.000 {method 'release' of 'cv2.VideoWriter' objects}
       76    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tokenize.py:98(_compile)
      169    0.000    0.000    0.000    0.000 /usr/lib/python3.8/contextlib.py:82(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1591(handle)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:540(wait)
      349    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:246(__enter__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1645(callHandlers)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tokenize.py:257(untokenize)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:941(handle)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/zipfile.py:1486(open)
      676    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:3421(shape)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/tokenize.py:183(untokenize)
      169    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.generic' objects}
      347    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:261(_is_owned)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1073(emit)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:270(wait)
      695    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       76    0.000    0.000    0.000    0.000 /usr/lib/python3.8/re.py:250(compile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.000    0.000 ball_track.py:151(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/encodings/cp437.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method io.open}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/ast.py:30(parse)
      349    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:249(__exit__)
      338    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      338    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/fromnumeric.py:1991(shape)
      338    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:505(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       76    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 ball_track.py:213(create_new_csv_file)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:914(get_code)
       76    0.000    0.000    0.000    0.000 /usr/lib/python3.8/re.py:289(_compile)
      507    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/numpy/core/_ufunc_config.py:426(__init__)
      169    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/numpy/ma/core.py:3433(__setmask__)
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:918(format)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:655(format)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:1550(makeRecord)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/logging/__init__.py:288(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      169    0.000    0.000    0.000    0.000 {method 'set' of 'ContextVar' objects}
      169    0.000    0.000    0.000    0.000 /usr/lib/python3.8/queue.py:212(_put)
        2    0.000    0.000    0.000    0.000 {built-in method numpy.fromfile}
