pure_actions_0,pure_actions_1,pure_actions_2,pure_actions_3,pure_actions_4,pure_actions_5,pure_actions_6,action_history_actor_0,action_history_actor_1,action_history_actor_2,action_history_actor_3,action_history_actor_4,action_history_actor_5,action_history_actor_6,action_history_actor_7,action_history_actor_8,action_history_actor_9,action_history_actor_10,action_history_actor_11,action_history_actor_12,action_history_actor_13,dof_pos_scaled_0,dof_pos_scaled_1,dof_pos_scaled_2,dof_pos_scaled_3,dof_pos_scaled_4,dof_pos_scaled_5,dof_pos_scaled_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,to_final_target_0,to_final_target_1,to_final_target_2,to_throwing_pos_0,to_throwing_pos_1,to_throwing_pos_2,to_throwing_vel_0,to_throwing_vel_1,to_throwing_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6
-0.6334861,-0.76827985,0.68425447,-0.2576003,-0.67750925,-0.8174078,0.8029743,-0.6556168,-0.76234204,0.7027343,-0.07176256,-0.64725816,-0.6664698,0.5439366,-0.6334861,-0.76827985,0.68425447,-0.2576003,-0.67750925,-0.8174078,0.8029743,0.2633505,-0.02549231,0.44590795,0.5884968,0.53684914,-0.43288028,0.51215386,-0.21330357,-0.30129868,0.21126366,-0.049549103,-0.17886162,0.045528412,0.037368774,0.67550355,-0.12617642,0.20379168,0.31175146,-0.35821986,0.90177643,-0.4716394,0.015329431,0.6482061,-0.061621778,-0.058652047,0.00037328067,0.7810871,-0.03500639,0.60968846,-0.13022032,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.6733753,-0.77682513,0.6869251,-0.22813447,-0.6559737,-0.7688892,0.7399433,-0.6334861,-0.76827985,0.68425447,-0.2576003,-0.67750925,-0.8174078,0.8029743,-0.6733753,-0.77682513,0.6869251,-0.22813447,-0.6559737,-0.7688892,0.7399433,0.26210582,-0.027892113,0.44715607,0.5880469,0.53577244,-0.43261117,0.5123733,-0.22897243,-0.3116294,0.22959328,-0.058418274,-0.19807816,0.034944534,0.04156685,0.6715732,-0.12604868,0.20913218,0.30962557,-0.3601818,0.9018206,-0.4716394,0.015329431,0.64086056,-0.06396638,-0.05869048,0.0013388168,0.78156483,-0.033731375,0.6091431,-0.13024321,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.6793479,-0.78294826,0.6834175,-0.05638726,-0.6583133,-0.81322515,0.771006,-0.6733753,-0.77682513,0.6869251,-0.22813447,-0.6559737,-0.7688892,0.7399433,-0.6793479,-0.78294826,0.6834175,-0.05638726,-0.6583133,-0.81322515,0.771006,0.26078498,-0.03036338,0.448488,0.5876194,0.5346066,-0.43242246,0.5126153,-0.24298573,-0.3208903,0.24502563,-0.05552101,-0.21445656,0.024508476,0.04582405,0.6676429,-0.12592095,0.21441147,0.30743915,-0.36216617,0.90181583,-0.4716394,0.015329431,0.63351506,-0.06582759,-0.059350554,-0.000107930486,0.78200793,-0.032493193,0.6086477,-0.13021392,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.6341707,-0.7916317,0.637564,0.04791406,-0.6953662,-0.857112,0.81362075,-0.6793479,-0.78294826,0.6834175,-0.05638726,-0.6583133,-0.81322515,0.771006,-0.6341707,-0.7916317,0.637564,0.04791406,-0.6953662,-0.857112,0.81362075,0.2594136,-0.032899857,0.4498763,0.587271,0.5333531,-0.43231273,0.51288044,-0.2522688,-0.32937515,0.255373,-0.045232773,-0.23059845,0.014249802,0.05019951,0.66371256,-0.12579322,0.21962954,0.30520833,-0.36418366,0.90170765,-0.4716394,0.015329431,0.6261695,-0.06718526,-0.06031701,-0.0031984823,0.78239834,-0.031258322,0.6082345,-0.13010162,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.6427928,-0.80293036,0.59248304,0.29708853,-0.70224893,-0.855458,0.78709185,-0.6341707,-0.7916317,0.637564,0.04791406,-0.6953662,-0.857112,0.81362075,-0.6427928,-0.80293036,0.59248304,0.29708853,-0.70224893,-0.855458,0.78709185,0.25799835,-0.035497963,0.4512956,0.5871148,0.53202105,-0.43227768,0.51316583,-0.26033974,-0.33737588,0.2611084,-0.020280838,-0.24502563,0.004552841,0.054042816,0.65978223,-0.12566549,0.2247864,0.30294275,-0.3662746,0.90138954,-0.4716394,0.015329431,0.618824,-0.068244845,-0.06251737,-0.00947392,0.7827053,-0.029941494,0.6079581,-0.12985699,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.64963263,-0.8182721,0.5574574,0.42468303,-0.70328563,-0.8575053,0.7762586,-0.6427928,-0.80293036,0.59248304,0.29708853,-0.70224893,-0.855458,0.78709185,-0.64963263,-0.8182721,0.5574574,0.42468303,-0.70328563,-0.8575053,0.7762586,0.25654364,-0.038156748,0.45272756,0.58719957,0.53062224,-0.43231338,0.5134696,-0.26761246,-0.34523618,0.26341438,0.010997772,-0.25732422,-0.004641533,0.057531357,0.6558519,-0.12553775,0.22988206,0.30064067,-0.3684609,0.90081704,-0.4716394,0.015329431,0.61147845,-0.069329396,-0.06534104,-0.017092977,0.7829207,-0.028497213,0.6078347,-0.12946005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.7088805,-0.8201656,0.58025765,0.45135266,-0.6989744,-0.82209533,0.75827265,-0.64963263,-0.8182721,0.5574574,0.42468303,-0.70328563,-0.8575053,0.7762586,-0.7088805,-0.8201656,0.58025765,0.45135266,-0.6989744,-0.82209533,0.75827265,0.25503552,-0.040868998,0.45417595,0.58751285,0.5291685,-0.43241334,0.51378906,-0.27742767,-0.35220218,0.2664299,0.04067993,-0.26743507,-0.012978554,0.060487747,0.6519216,-0.12541002,0.23491651,0.2982941,-0.37073898,0.900007,-0.4716394,0.015329431,0.6041329,-0.07064297,-0.06803674,-0.024220059,0.78305286,-0.026923692,0.6078489,-0.12893012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.6879457,-0.8240851,0.4817673,0.5601111,-0.7561933,-0.85237616,0.7864784,-0.7088805,-0.8201656,0.58025765,0.45135266,-0.6989744,-0.82209533,0.75827265,-0.6879457,-0.8240851,0.4817673,0.5601111,-0.7561933,-0.85237616,0.7864784,0.25348592,-0.04362917,0.45560718,0.5880742,0.5276505,-0.43257612,0.51412404,-0.28505516,-0.35842168,0.26329613,0.07290459,-0.27926064,-0.021138191,0.06344414,0.64799124,-0.12528229,0.23988974,0.29589468,-0.37312508,0.8989341,-0.4716394,0.015329431,0.59678733,-0.07223131,-0.071271025,-0.03210888,0.78308004,-0.025197834,0.6080242,-0.1282854,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.665194,-0.8334134,0.45351794,0.48040566,-0.74658227,-0.8413151,0.81442857,-0.6879457,-0.8240851,0.4817673,0.5601111,-0.7561933,-0.85237616,0.7864784,-0.665194,-0.8334134,0.45351794,0.48040566,-0.74658227,-0.8413151,0.81442857,0.25190926,-0.04643494,0.4570099,0.58881783,0.52607894,-0.43279767,0.5144744,-0.29005146,-0.36432707,0.25803375,0.09655571,-0.28907585,-0.028765678,0.0663414,0.6440609,-0.12515455,0.24480176,0.29343286,-0.3755982,0.897663,-0.4716394,0.015329431,0.5894418,-0.0740593,-0.07377449,-0.038063493,0.7830293,-0.02335529,0.6083164,-0.12755696,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.7132208,-0.83557934,0.5245583,0.38655728,-0.7225879,-0.792275,0.793031,-0.665194,-0.8334134,0.45351794,0.48040566,-0.74658227,-0.8413151,0.81442857,-0.7132208,-0.83557934,0.5245583,0.38655728,-0.7225879,-0.792275,0.793031,0.25029492,-0.04928112,0.45840967,0.5896684,0.5244713,-0.43307108,0.51483786,-0.2969694,-0.36958206,0.2575016,0.110450745,-0.2957573,-0.03550625,0.06882477,0.6401306,-0.12502682,0.24965256,0.29090905,-0.3781166,0.8962741,-0.4716394,0.015329431,0.5820962,-0.07590654,-0.075083494,-0.041609667,0.78293717,-0.021449847,0.60866934,-0.12677117,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
