torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_disc_0,joint_vel_disc_1,joint_vel_disc_2,joint_vel_disc_3,joint_vel_disc_4,joint_vel_disc_5,joint_vel_disc_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,joint_acc_disc_0,joint_acc_disc_1,joint_acc_disc_2,joint_acc_disc_3,joint_acc_disc_4,joint_acc_disc_5,joint_acc_disc_6,,
-1.9129987,-15.276623,-3.35666,-28.599358,3.1615086,0.3192166,0.52716696,0.64039654,-0.4306228,0.50717056,-0.53355974,0.6072682,0.076240376,0.32107863,0.8801141,-0.028600704,1.4460206,1.0774282,1.7442039,-0.85013026,1.6215872,0.78894264,0.03351644,1.3739848,1.1534196,1.6548084,-0.86112666,1.5739833,0.9776044,-0.4952573,0.808045,-0.8085301,0.33901817,0.08796038,0.11163408,0.97761154,-0.495255,0.8079529,-0.8085251,0.33893585,0.08792877,0.111579895,3.0063877,-0.5233712,0.90292686,-3.2014983,0.11256949,4.773032,0.35236788,-0.29139686,0.9452684,0.7946575,-0.07484653,0.5862931,-0.13848363,0.22503315,0.55186325,0.40276587,1,0,0,0,0,0,0,-3.6563878,0.12337121,-0.35292685,8.809805,-11.110777,6.0096264,-7.672894,5.0688624,-0.2764359,1.4103665,8.811951,-11.110306,5.9890747,-7.6675415,5.0354004,-0.2861023,1.411438
-5.468081,-21.73246,-6.768176,-27.366323,3.1316876,0.68159866,0.5394243,0.6402115,-0.4753217,0.497981,-0.53752166,0.6142331,0.04515366,0.31932995,0.88497436,-0.037781816,1.448682,1.0727913,1.7469434,-0.8543536,1.6218828,0.79402,0.030739788,1.37814,1.1492091,1.6566232,-0.8606999,1.5745746,1.0154275,-0.5553291,0.83107865,-0.8421142,0.36293355,0.08532558,0.11826403,1.0154724,-0.5553305,0.8310318,-0.8420944,0.36296844,0.08535385,0.118255615,2.9903803,-0.52280855,0.92654574,-3.2014983,0.11256949,4.723771,0.35340834,-0.28862453,0.9473802,0.79701805,-0.07726521,0.58365136,-0.13469732,0.20422995,0.5551936,0.42263326,1,0,0,0,0,0,0,-3.6403804,0.122808546,-0.37654573,7.564616,-12.014359,4.606724,-6.7168236,4.7830763,-0.5269602,1.3259888,7.572174,-12.015104,4.6157837,-6.713867,4.8065186,-0.51498413,1.335144
-7.770959,-25.486198,-8.927609,-26.41644,3.0726578,0.9347092,0.53468233,0.6421999,-0.5082557,0.48998427,-0.5407242,0.6206385,0.044556182,0.31805483,0.89035,-0.045498576,1.4516376,1.0681005,1.749719,-0.8540165,1.6222829,0.7992609,0.027657766,1.3823819,1.1448509,1.6585506,-0.860286,1.5751973,1.0481775,-0.616403,0.84839755,-0.8716469,0.38555196,0.08273996,0.12449801,1.0481834,-0.6164044,0.8483887,-0.8716583,0.38547516,0.08277893,0.124549866,2.9743729,-0.5222459,0.94991827,-3.2014983,0.11256949,4.67451,0.35432768,-0.28586173,0.94958264,0.79949534,-0.07966139,0.58083665,-0.13072903,0.1794898,0.55290955,0.44074023,1,0,0,0,0,0,0,-3.624373,0.12224588,-0.39991826,6.550002,-12.21478,3.4637809,-5.906534,4.5236826,-0.51712394,1.2467966,6.542206,-12.21478,3.4713745,-5.912781,4.501343,-0.51498413,1.2588501
-9.426138,-27.638689,-10.433408,-25.591227,2.9811587,1.1412648,0.51259327,0.64118725,-0.5327083,0.47843593,-0.54255617,0.62168616,0.073779084,0.31719303,0.895439,-0.05224848,1.4541473,1.0634674,1.7518035,-0.84921914,1.6227763,0.8046406,0.024278525,1.386682,1.1403638,1.6605839,-0.85987926,1.5758497,1.0759071,-0.6758482,0.8600032,-0.89739573,0.40655157,0.081354655,0.13036984,1.0759354,-0.6758481,0.8600235,-0.89740753,0.40664673,0.08134842,0.13046265,2.9583654,-0.5216832,0.9730445,-3.2014983,0.11256949,4.625249,0.35511065,-0.2831335,0.95186657,0.8020767,-0.08201342,0.5778571,-0.12660082,0.15209562,0.54595464,0.45705873,1,0,0,0,0,0,0,-3.6083655,0.12168321,-0.4230445,5.545926,-11.88904,2.321124,-5.14977,4.199922,-0.27706027,1.1743665,5.5503845,-11.888742,2.3269653,-5.1498413,4.234314,-0.2861023,1.1825562
-10.316169,-28.101147,-11.156659,-24.445208,2.82526,1.2627603,0.48582906,0.6393093,-0.5475365,0.46536687,-0.5336859,0.61861783,0.046923816,0.30661282,0.900537,-0.05785195,1.456487,1.060311,1.7533765,-0.85284066,1.6218415,0.81013566,0.020622525,1.3910136,1.1357776,1.6627125,-0.8594835,1.5765277,1.0990568,-0.7312002,0.86624545,-0.91726446,0.42573166,0.07910798,0.13554084,1.0990143,-0.7312,0.86631775,-0.91724396,0.4257202,0.07915497,0.13561249,2.942358,-0.52112055,0.9959245,-3.2014983,0.11256949,4.575988,0.3557539,-0.2804563,0.9542173,0.8047442,-0.08430752,0.5747292,-0.122332595,0.12380557,0.5355068,0.47039038,1,0,0,0,0,0,0,-3.592358,0.12112054,-0.44592446,4.6299458,-11.070406,1.248455,-3.9737463,3.8360178,-0.44933558,1.0342002,4.6157837,-11.070371,1.2588501,-3.9672852,3.8146973,-0.4386902,1.0299683
-10.423867,-26.906149,-11.106947,-23.850624,2.693849,1.3141719,0.45048228,0.6300168,-0.5544164,0.46228665,-0.53365684,0.6245246,0.051981974,0.3173895,0.9046382,-0.062539935,1.4603566,1.055729,1.7563912,-0.8516862,1.6241361,0.815718,0.016718853,1.3953652,1.1311084,1.6649317,-0.8590977,1.5772315,1.1164491,-0.78073317,0.8702735,-0.9338824,0.44386014,0.07711623,0.14081426,1.1164665,-0.7807344,0.8703232,-0.9338379,0.44384003,0.07715225,0.14076233,2.9263506,-0.5205579,1.0185581,-3.2014983,0.11256949,4.5267267,0.35625696,-0.27783728,0.95662487,0.80748224,-0.08653563,0.57146615,-0.117941916,0.09581618,0.5233602,0.48186597,1,0,0,0,0,0,0,-3.5763507,0.120557874,-0.46855813,3.4784555,-9.9065895,0.80560446,-3.3235908,3.625697,-0.39834976,1.0546833,3.490448,-9.906888,0.8010864,-3.3187866,3.6239624,-0.4005432,1.0299683
-9.853701,-24.62865,-10.385702,-23.023289,2.539674,1.299191,0.42761713,0.6294323,-0.5582327,0.46129248,-0.5248014,0.6292788,0.0882599,0.31770077,0.9101328,-0.067016065,1.4645591,1.0523882,1.7593235,-0.84585875,1.6248866,0.82137185,0.012597758,1.3997312,1.1263791,1.6672367,-0.8587148,1.5779611,1.1307905,-0.8242185,0.873266,-0.94584936,0.46099842,0.07656405,0.14584294,1.1307716,-0.824219,0.8731842,-0.9458542,0.46100616,0.07658005,0.14591217,2.9103432,-0.5199952,1.0409455,-3.2014983,0.11256949,4.4774656,0.35663176,-0.27528143,0.95907843,0.8102767,-0.08869139,0.56808156,-0.11344012,0.06957981,0.5106451,0.49088347,1,0,0,0,0,0,0,-3.5603433,0.11999521,-0.49094552,2.8682709,-8.697069,0.59850216,-2.3933887,3.4276545,-0.110435486,1.005736,2.861023,-8.696914,0.5722046,-2.4032593,3.4332275,-0.11444092,1.0299683
-8.904745,-21.10196,-9.284466,-22.47273,2.3608232,1.256264,0.3775993,0.6169541,-0.54856676,0.460733,-0.5190868,0.62620795,0.12387837,0.3133576,0.913915,-0.06968726,1.4688411,1.0485162,1.7611679,-0.8401331,1.6249647,0.8270715,0.008302193,1.4041095,1.1216079,1.6696199,-0.8583276,1.5787135,1.139899,-0.8591131,0.8756179,-0.954337,0.47662756,0.07741765,0.15045565,1.1399269,-0.85911304,0.87566376,-0.9542465,0.47664642,0.077438354,0.1504898,2.8943357,-0.51943254,1.0630865,-3.2014983,0.11256949,4.4282045,0.35688496,-0.27278638,0.96156645,0.8131093,-0.09077373,0.5645933,-0.1088475,0.045670763,0.4981685,0.4977951,1,0,0,0,0,0,0,-3.5443358,0.11943254,-0.5130865,1.8217087,-6.978917,0.47038794,-1.6975284,3.1258285,0.17071962,0.9225428,1.8310547,-6.97881,0.49591064,-1.6784668,3.1280518,0.17166138,0.91552734
-8.271735,-18.88907,-8.52795,-21.970583,2.2392697,1.2180609,0.35266453,0.61877686,-0.5501731,0.45543194,-0.51388496,0.624941,0.1230366,0.32118383,0.919888,-0.07422377,1.4724243,1.0445251,1.7633611,-0.8398721,1.6268911,0.83280975,0.0038576014,1.4084907,1.116808,1.6720747,-0.85793614,1.5794889,1.147647,-0.8889185,0.87632096,-0.96004665,0.4909518,0.07826689,0.1550995,1.1476517,-0.88891834,0.87623596,-0.95996857,0.49095154,0.07829666,0.15506744,2.8783283,-0.5188699,1.0849812,-3.2014983,0.11256949,4.3789434,0.35702896,-0.27035117,0.9640806,0.81596786,-0.09278296,0.5610129,-0.104173385,0.023411028,0.48582092,0.50302446,1,0,0,0,0,0,0,-3.5283284,0.11886987,-0.5349812,1.5496016,-5.9610844,0.14060736,-1.1419296,2.8648496,0.1698479,0.9287685,1.5449524,-5.9610605,0.11444092,-1.1444092,2.861023,0.17166138,0.91552734
-7.563223,-16.611612,-7.696398,-21.551998,2.130476,1.1714231,0.32960913,0.6129757,-0.54897755,0.45900986,-0.50881237,0.6269873,0.13663384,0.32134515,0.9247561,-0.078489035,1.4773421,1.0404862,1.7661228,-0.8374411,1.6276907,0.83857375,-0.00071258086,1.4128785,1.111991,1.6745962,-0.85753846,1.5802861,1.1528307,-0.91403645,0.87758106,-0.9634662,0.50432694,0.07957245,0.15952112,1.1528015,-0.9140365,0.8775711,-0.9634018,0.504303,0.07953644,0.15945435,2.862321,-0.5183072,1.1066296,-3.2014983,0.11256949,4.3296824,0.35706997,-0.26797485,0.9666144,0.8188422,-0.09471993,0.557351,-0.09942523,0.002897399,0.4738582,0.5068429,1,0,0,0,0,0,0,-3.512321,0.1183072,-0.5566296,1.0367393,-5.0235868,0.25202036,-0.6839156,2.6750267,0.26111156,0.8843243,1.0299683,-5.0236344,0.2670288,-0.6866455,2.670288,0.24795532,0.8773804
