X,Y,Z,timestamp,vx,vy,vz,speed
2.238645283888784,-0.5028091850511417,1.8937013575217292,1741372786.644277,-1.8982951426095978,-0.026426001128048708,1.1012169013522797,2.1947440501832394
2.245330650605862,-0.5026952302469234,1.8895636337105994,1741372786.6492772,-1.9133310483256747,-0.025062202828970648,1.084353199069035,2.1993830214014376
2.2467193364993534,-0.5026674918121316,1.8885935934152962,1741372786.6542773,-1.9991514445722032,-0.025000536684159535,1.1103926365914156,2.2869637803354164
2.2385556881664703,-0.5027966362674428,1.8933729403156585,1741372786.6592774,-2.1459461411242877,-0.026206691193342346,1.1720593510946589,2.4453005446688874
2.2137135758299213,-0.5031733626749352,1.9078051058595027,1741372786.6642776,-2.340678294912984,-0.028589772937621497,1.2600802439935683,2.6584571609669148
2.1747654625541384,-0.5037163561907518,1.9294153207726468,1741372786.6692777,-2.569277881453739,-0.0320267265275349,1.3645819735346587,2.9093467489859686
2.16020273244888,-0.5038960134069684,1.937284984909838,1741372786.6742778,-2.81860698637002,-0.03638330933799585,1.476366622035355,3.182063401548177
2.1166508530427874,-0.5044085270559354,1.9597140018535943,1741372786.679278,-3.0777629928152606,-0.04152614098311463,1.587810246190699,3.463450712546126
2.102717221172895,-0.5046063421007855,1.9665655626218217,1741372786.684278,-3.338501452072859,-0.04732367783296126,1.693252464334179,3.7436526793961535
2.0975872750028746,-0.504683226311497,1.9691208062041894,1741372786.6892781,-3.594825159926759,-0.05363767084076594,1.7888929422908548,4.015692080968573
2.0896461618074578,-0.5048144607746532,1.972997303436241,1741372786.6942782,-3.8420140685597235,-0.06030956413360278,1.8723343627604645,4.27438244808656
2.0729761673920386,-0.5050964509025304,1.980976261847213,1741372786.6992784,-4.075493157524449,-0.06714762228464363,1.9419765375387361,4.515022275975837
2.0614330534125433,-0.5052919491082712,1.9864943590716175,1741372786.7042785,-4.289927553207004,-0.07392017870541429,1.9964630202535305,4.732315204614368
2.0536728416339005,-0.5054297337702488,1.9901165058565433,1741372786.7092786,-4.478826496590479,-0.0803587171944136,2.034327998262633,4.9198409236991925
2.034319364220507,-0.5057807991143144,1.999013086499697,1741372786.7142787,-4.634782932615699,-0.08617215045125232,2.053915716391629,5.070227632169951
2.0073172014504346,-0.5062861937776562,2.0111921860116815,1741372786.7192788,-4.750309599886471,-0.09107103925154487,2.053566110560579,5.1759896637654546
1.9800259596869818,-0.5068127638207456,2.023187818850839,1741372786.724279,-4.819079775612545,-0.09479796565997825,2.031990336761218,5.230822236197871
1.9422984934085037,-0.5075620389723335,2.03902072613935,1741372786.729279,-4.837274331647219,-0.09715846204311927,1.9887130527912353,5.23102689084102
1.9028686858737627,-0.5083591643318541,2.0547648805272916,1741372786.7342792,-4.804709861883762,-0.09804648277921083,1.924448434649593,5.1767124458766025
1.890826955147416,-0.5086030938915742,2.0594015855838026,1741372786.7392793,-4.725484100327459,-0.09745962499129648,1.8413057454358899,5.072485111769799
1.858610812717905,-0.5092538346508916,2.0714179846700316,1741372786.7442794,-4.607996987525674,-0.09550168189056264,1.742773548996699,4.927475667253178
1.8374091702817297,-0.5096796158636363,2.078906370249891,1741372786.7492795,-4.464336485502768,-0.09237264021001025,1.6334858730874318,4.754693371609444
1.8084241116682511,-0.5102565595963506,2.088771969313341,1741372786.7542796,-4.309115889320404,-0.0883480641707896,1.518810978684968,4.569799986543207
1.7872843101572893,-0.5106714256985517,2.0956196828590867,1741372786.7592797,-4.15791077402941,-0.08375085635813383,1.404322684913743,4.389459922825804
