torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
9.981583,25.987293,10.385669,-34.796722,3.2779148,-0.25981224,0.2927511,-0.79696435,0.55817896,0.3039292,0.25069624,0.921237,-0.9040465,0.97089124,0.736803,0.034968376,1.3449751,1.235579,1.6978897,-0.97848773,1.634749,0.7904686,-0.002673667,1.3240224,1.2187065,1.6358979,-0.91598696,1.5676202,-0.53914547,0.36381808,0.08774844,0.17134039,0.6326361,-0.19970128,0.21266225,3.4399948,-0.5136328,1.251228,-3.6188145,0.1414954,4.0769777,0.33324623,-0.33021426,0.91320455,0.783941,-0.055216517,0.60558504,-0.12511757,-0.0019781822,0.018640218,-0.014649341,1,0,0,0,0,0,-4.1399946,0.35363278,-0.691228,-8.618533,6.196439,7.207781,2.1269543,8.963078,-4.163295,4.312403
10.250935,25.737118,10.572857,-34.983196,3.2582123,-0.29184353,0.27284452,-0.8073753,0.5665377,0.33653718,0.24806896,0.92294574,-0.9025711,0.9681652,0.7339523,0.03698397,1.34758,1.2360713,1.7005041,-0.9791669,1.6353917,0.7882203,-0.0011496741,1.3244573,1.2194132,1.6385233,-0.9168338,1.5685204,-0.57012355,0.38674894,0.11608208,0.17837977,0.6644341,-0.2157557,0.22912817,3.42552,-0.51306725,1.2674178,-3.6188145,0.1414954,4.037616,0.33326483,-0.33010912,0.91314405,0.7841438,-0.054647405,0.605472,-0.12464225,0.006514187,0.028566815,-0.015259976,1,0,0,0,0,0,-4.1255198,0.35306725,-0.7074178,-7.988035,5.7508793,7.3133626,1.7478987,7.9889293,-4.01058,4.110336
11.239856,26.246445,11.460425,-34.330406,3.126266,-0.4190023,0.27607483,-0.8108445,0.57211405,0.384881,0.26347455,0.92321867,-0.90122217,0.9667675,0.73146117,0.03889831,1.351399,1.2378564,1.7031486,-0.9799194,1.6361941,0.7858571,0.00046033505,1.3250114,1.2201494,1.6412652,-0.91774315,1.5694846,-0.59795994,0.40777984,0.14642842,0.18608406,0.69260544,-0.23124704,0.24486855,3.411045,-0.5125017,1.2834502,-3.6188145,0.1414954,3.9982536,0.3333192,-0.32996368,0.91307956,0.7843577,-0.0540863,0.6053567,-0.12410007,0.01617224,0.039013032,-0.016668387,1,0,0,0,0,0,-4.111045,0.35250172,-0.72345024,-7.205516,5.2775736,7.8174915,1.91354,7.087409,-3.8712096,3.9263737
11.208855,25.400883,11.34153,-33.795715,3.0603676,-0.4094715,0.2756522,-0.8113561,0.5766099,0.40948847,0.2770087,0.9280859,-0.89777124,0.9658143,0.72906214,0.040823027,1.3536756,1.23954,1.7062311,-0.9805871,1.6370916,0.78339183,0.0021490376,1.3256847,1.220918,1.6441119,-0.91871256,1.5705088,-0.62265646,0.42700243,0.17588738,0.19415823,0.7180734,-0.24614106,0.25993136,3.3965702,-0.5119362,1.2993251,-3.6188145,0.1414954,3.9588912,0.33341265,-0.32977724,0.9130074,0.7845804,-0.05353614,0.6052419,-0.1234893,0.026027467,0.04912173,-0.018645644,1,0,0,0,0,0,-4.09657,0.3519362,-0.7393251,-6.424874,4.8268433,7.5990777,2.006143,6.41483,-3.7217436,3.7553606
10.682616,23.85128,10.739402,-33.78256,3.079164,-0.3432547,0.2660434,-0.8137821,0.57573926,0.43038937,0.27801993,0.92824244,-0.8985712,0.9682734,0.7264271,0.042450786,1.355812,1.2403795,1.7090888,-0.98161256,1.638288,0.780836,0.0039080004,1.3264714,1.2217163,1.6470511,-0.9197406,1.5715922,-0.6447766,0.4440165,0.20415072,0.20116144,0.740618,-0.2605675,0.27443758,3.3820953,-0.51137066,1.3150426,-3.6188145,0.1414954,3.9195287,0.33354425,-0.32955074,0.9129273,0.7848115,-0.052998587,0.6051278,-0.12281005,0.035502125,0.05867525,-0.020564342,1,0,0,0,0,0,-4.082095,0.35137066,-0.7550426,-5.7902927,4.275858,7.308967,1.7389505,5.686044,-3.6034136,3.6153195
9.386951,21.222136,9.378548,-33.227535,3.0680406,-0.17157328,0.26045966,-0.81456965,0.5743592,0.4304234,0.2899221,0.9279156,-0.90112334,0.9710712,0.7238161,0.044113144,1.3566011,1.2420108,1.7120051,-0.98281926,1.6395671,0.7781991,0.0057289484,1.3273612,1.2225431,1.6500733,-0.92082494,1.5727319,-0.6643808,0.45900843,0.22898433,0.2084469,0.76051676,-0.27457505,0.2884118,3.3676205,-0.51080513,1.3306026,-3.6188145,0.1414954,3.8801663,0.33371162,-0.3292911,0.9128383,0.7850497,-0.052470274,0.60501546,-0.12206588,0.044020712,0.06681935,-0.022991005,1,0,0,0,0,0,-4.0676203,0.35080513,-0.77060264,-5.1651893,3.7710068,6.455846,1.8104687,5.024701,-3.497079,3.4821181
10.109728,22.08908,10.020954,-33.244373,2.9978929,-0.24987197,0.2460179,-0.8231662,0.58950454,0.46197253,0.2952445,0.93087435,-0.8966335,0.9712641,0.7205774,0.046994265,1.3596992,1.2432102,1.7152345,-0.9835893,1.6407204,0.7754878,0.0076100263,1.3283521,1.2233967,1.6531699,-0.92196363,1.5739259,-0.6826115,0.4740553,0.25430134,0.21526104,0.7784602,-0.28796712,0.30178085,3.3531456,-0.5102396,1.3460052,-3.6188145,0.1414954,3.8408039,0.33391476,-0.32899737,0.91274,0.7852931,-0.051954314,0.6049063,-0.12125878,0.05324037,0.075408325,-0.025518827,1,0,0,0,0,0,-4.0531454,0.3502396,-0.7860052,-4.8272905,3.7861464,6.580278,1.6918256,4.5397577,-3.3445952,3.3296196
9.513308,20.336994,9.354554,-32.139435,2.899977,-0.16851819,0.25554892,-0.8180519,0.5870679,0.47387362,0.32053283,0.9279895,-0.89540416,0.97055084,0.71822417,0.04870478,1.3615233,1.245834,1.7181292,-0.9846419,1.6418644,0.7727121,0.009545516,1.3294393,1.2242845,1.6563303,-0.9231543,1.5751714,-0.6980166,0.48717833,0.2777834,0.2238898,0.79400337,-0.3008595,0.31455395,3.3386707,-0.5096741,1.3612504,-3.6188145,0.1414954,3.8014414,0.33415556,-0.32867193,0.912627,0.7855393,-0.051448967,0.604804,-0.12038738,0.062272802,0.08302941,-0.029206928,1,0,0,0,0,0,-4.0386705,0.34967408,-0.8012504,-4.114508,3.3056138,6.115898,2.1463258,3.9399562,-3.2189188,3.179565
8.445149,18.239668,8.233811,-32.032787,2.9340444,-0.02931869,0.24614717,-0.82615215,0.5862335,0.48313364,0.3260394,0.9282865,-0.8970301,0.9724533,0.7148815,0.05058186,1.3632586,1.2471073,1.7213104,-0.9859464,1.6432431,0.7698778,0.0115289055,1.3306142,1.2252039,1.6595471,-0.924395,1.5764664,-0.7124254,0.49877018,0.29939616,0.23193021,0.8077792,-0.31332076,0.32681388,3.3241959,-0.50910854,1.376338,-3.6188145,0.1414954,3.762079,0.33442783,-0.3283186,0.9125007,0.7857878,-0.05095291,0.6047079,-0.11945555,0.070426956,0.08962101,-0.032896474,1,0,0,0,0,0,-4.0241957,0.34910855,-0.816338,-3.8713214,2.923399,5.6544538,1.9997059,3.4978685,-3.1101255,3.051698
7.7616487,16.947615,7.4801893,-31.92778,2.9329507,0.068071604,0.23184441,-0.8259764,0.5923572,0.48074618,0.33318058,0.92923814,-0.9016689,0.96929765,0.71205944,0.052993912,1.3642664,1.2485265,1.7245938,-0.9875119,1.6443173,0.7669915,0.013556909,1.3318664,1.2261556,1.6628153,-0.92568487,1.5778092,-0.7250036,0.50977945,0.31803888,0.23965038,0.82006836,-0.3254353,0.33842963,3.309721,-0.508543,1.3912683,-3.6188145,0.1414954,3.7227166,0.33473206,-0.32794166,0.912358,0.7860367,-0.050463703,0.60462004,-0.11846658,0.07801302,0.09547203,-0.036674485,1,0,0,0,0,0,-4.009721,0.34854302,-0.83126825,-3.4185944,2.7783809,4.916772,1.9200965,3.126174,-3.0225663,2.8911083
