set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,predicted_0,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5,predicted_6,actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,abs_error_0,abs_error_1,abs_error_2,abs_error_3,abs_error_4,abs_error_5,abs_error_6,sq_error_0,sq_error_1,sq_error_2,sq_error_3,sq_error_4,sq_error_5,sq_error_6
1.8368803,-1.2494198,-1.5869005,-0.8562414,1.7525691,1.244437,-0.8756528,1.9086173010383538,-1.3179525897786017,-1.6452112730603323,-0.9145907780460102,1.6908330074691944,1.2641296467054488,-0.8522512878951135,1.9088721,-1.3173598,-1.6451538,-0.9135672,1.6908469,1.2638608,-0.852252,0.0002547989616461521,0.0005927897786017766,5.747306033221378e-05,0.0010235780460101651,1.3892530805525993e-05,0.00026884670544879974,7.121048865021962e-07,6.49225108559573e-08,3.5139972161474335e-07,3.303152663950285e-09,1.0477120162739877e-06,1.930024121824887e-10,7.227855103067369e-08,5.070933693803057e-13
1.8238297,-1.239487,-1.5670501,-0.84097254,1.7540485,1.2492541,-0.8810865,1.894327937116464,-1.30747075409627,-1.6301059299208371,-0.8976126492871037,1.6905665010717563,1.2717536394770772,-0.8497104945095708,1.8944907,-1.3075503,-1.6280487,-0.89809,1.690023,1.2719136,-0.8497114,0.00016276288353589408,7.954590372993842e-05,0.0020572299208372335,0.00047735071289634057,0.0005435010717562694,0.00015996052292277518,9.054904291927457e-07,2.6491756256919018e-08,6.3275508002126305e-09,4.2321949471879705e-06,2.2786370310264455e-07,2.953934150002135e-07,2.5587368893727684e-08,8.199129173596628e-13
1.8111337,-1.2276852,-1.5486712,-0.8284919,1.7578962,1.2724285,-0.87519836,1.8822249578018706,-1.2963788102261598,-1.614842538778541,-0.8839546607751819,1.694031296432256,1.2759827239138022,-0.8479555206463681,1.879724,-1.2951964,-1.611676,-0.88386977,1.6928763,1.2784635,-0.84788036,0.0025009578018706513,0.0011824102261597247,0.003166538778540895,8.489077518192278e-05,0.001154996432255917,0.002480776086197789,7.516064636814423e-05,6.25478992673768e-06,1.3980939429270914e-06,1.0026967836003262e-05,7.206443710987757e-09,1.334016758523897e-06,6.1542499898508195e-06,5.649122762477233e-09
1.7973713,-1.2142842,-1.5321928,-0.8194428,1.7616969,1.2972348,-0.86347866,1.8656300929659873,-1.282664713984818,-1.5978361915961372,-0.8703647835263495,1.69981682708638,1.2819287801610484,-0.8465969362125965,1.8647819,-1.2810344,-1.5962512,-0.8710009,1.698854,1.283949,-0.84659576,0.000848192965987149,0.0016303139848179438,0.0015849915961372307,0.0006361164736504721,0.0009628270863799582,0.00202021983895162,1.1762125964320802e-06,7.194313075500769e-07,2.6579236890929626e-06,2.512198359825646e-06,4.0464416804951176e-07,9.270359982669195e-07,4.08128819769371e-06,1.3834760720054955e-12
1.7835449,-1.1996174,-1.517063,-0.81302047,1.767768,1.3156407,-0.84920985,1.8487628059321772,-1.2684979974714603,-1.5820558695585722,-0.8587784005994943,1.707007627953276,1.2881004694766283,-0.8456566093525691,1.8498664,-1.2659224,-1.5815971,-0.8594891,1.7069907,1.2887479,-0.8456516,0.0011035940678227885,0.0025755974714603003,0.00045876955857226953,0.000710699400505721,1.6927953276013596e-05,0.0006474305233716837,5.009352569196324e-06,1.2179198665336495e-06,6.633702334992692e-06,2.1046950787259504e-07,5.050936378791912e-07,2.8655560211489944e-10,4.191662825933323e-07,2.509361316251381e-11
1.7706535,-1.1838896,-1.5020231,-0.8082537,1.7748476,1.3294315,-0.8396123,1.8342735331387265,-1.2533486544537247,-1.5666002379470707,-0.8495916581463261,1.7168630627930297,1.2935974748890993,-0.8446302982542877,1.8351703,-1.2505168,-1.5673931,-0.84930766,1.7163539,1.2931405,-0.84487724,0.0008967668612733792,0.0028318544537246915,0.0007928620529293884,0.0002839981463260699,0.0005091627930295939,0.00045697488909923756,0.00024694174571227023,8.041908034781082e-07,8.019399647080371e-06,6.286302349754043e-07,8.06549471166438e-08,2.5924674980569706e-07,2.0882604926726045e-07,6.098022577542353e-08
1.7572528,-1.1683984,-1.4885244,-0.80247647,1.7832756,1.3363682,-0.8346607,1.8208627974434646,-1.2378336069723914,-1.5529899793935449,-0.8415373050892152,1.7258519748857442,1.2978831970743587,-0.8441562559432914,1.8207946,-1.2352027,-1.5533855,-0.840304,1.7262416,1.297289,-0.8441706,6.819744346464596e-05,0.0026309069723913225,0.00039552060645520193,0.0012333050892151531,0.0003896251142558871,0.0005941970743588154,1.4344056708637254e-05,4.650891295113582e-09,6.921671497377275e-06,1.5643655013069072e-07,1.5210414430839969e-06,1.5180772965891307e-07,3.530701631765756e-07,2.0575196286060142e-10
1.7435243,-1.1532162,-1.4746232,-0.79739845,1.792567,1.3427366,-0.8359704,1.8073706778195826,-1.221221383108202,-1.5385945727623118,-0.8332071517242268,1.7358014105567925,1.302045670776968,-0.8435141680041928,1.8067317,-1.2201442,-1.5394104,-0.83226264,1.7362227,1.3012849,-0.84350586,0.0006389778195825535,0.001077183108201929,0.0008158272376881381,0.0009445117242267154,0.0004212894432074066,0.0007607707769681227,8.308004192714158e-06,4.082926539184743e-07,1.1603234485955686e-06,6.655740817538579e-07,8.921023972017228e-07,1.7748479495800665e-07,5.78772175088681e-07,6.902293366615603e-11
1.7301328,-1.1384059,-1.4609754,-0.79324126,1.8015616,1.3485603,-0.83262086,1.7944821643377407,-1.2065301978236977,-1.5255277090655373,-0.8258901948522774,1.745244708630958,1.3056816888266838,-0.8427958139917371,1.7929225,-1.2053546,-1.5254028,-0.8249985,1.7460685,1.3051854,-0.8428526,0.001559664337740685,0.0011755978236978049,0.0001249090655373042,0.0008916948522774693,0.0008237913690420928,0.0004962888266837329,5.678600826286573e-05,2.4325528464200894e-06,1.3820302430830151e-06,1.5602274653402553e-08,7.951197095781377e-07,6.786322197082456e-07,2.4630259949111625e-07,3.2246507344302546e-09
1.7158461,-1.1247951,-1.4468564,-0.7919437,1.8109463,1.3536316,-0.8304783,1.7801580923876243,-1.1923222493399226,-1.5124922410121104,-0.8186001907131919,1.754565762990343,1.3096377274757274,-0.8417077057499699,1.7792468,-1.1908149,-1.5113418,-0.8184935,1.7557063,1.3090287,-0.8421831,0.0009112923876244405,0.0015073493399226923,0.0011504410121103703,0.00010669071319191481,0.0011405370096568834,0.0006090274757273306,0.0004753942500300701,8.304538157422536e-07,2.2721020325653763e-06,1.3235145223455332e-06,1.1382908281399425e-08,1.3008246703970658e-06,3.709144661908043e-07,2.259996929616528e-07
