torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,to_target_0,to_target_1,to_target_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
-2.5339224,3.3163214,-0.5820501,-39.622105,4.46975,1.035013,0.16901779,0.8438886,-0.7186473,0.7936319,-0.94927526,0.9675761,-0.98995644,0.98483,0.8632036,-0.09446734,1.4041753,1.0869843,1.7489803,-0.97823983,1.6892685,0.8028909,-0.045562696,1.3502114,1.1518264,1.6826918,-0.9078413,1.619734,0.11207332,-0.7104424,0.79581016,-0.8790368,0.8463463,-0.21968336,0.34569615,3.265907,-0.46061373,1.4183091,-3.5620396,0,4.1982517,2.9471405,-0.13562799,0.46992677,0.3187666,-0.32498574,0.9483823,0.8199463,-0.0484964,0.56347966,-0.08846864,-0.16866994,0.18510851,0.4738546,1,0,0,0,0,0,0,0,0.26874614,-0.95084304,1.4423727,-2.5563536,2.0100472,-0.06324052,2.324268
-2.6179934,3.735035,-0.56716156,-39.113853,4.3445997,1.0597826,0.14971599,0.82912076,-0.70992357,0.7861951,-0.94801265,0.96629214,-0.9897814,0.9845696,0.8625876,-0.0966772,1.4068174,1.0835695,1.7522649,-0.9791056,1.690623,0.803332,-0.048411768,1.3534167,1.1482835,1.6860974,-0.9087187,1.6211426,0.11044928,-0.7128594,0.8023602,-0.88783807,0.85311544,-0.21931814,0.35433632,3.2516587,-0.46061373,1.4349834,-3.5620396,0,4.1586533,2.9335814,-0.13637304,0.48469144,0.3180773,-0.32424068,0.95029193,0.8220778,-0.04925558,0.56073904,-0.08563663,-0.17532384,0.1865431,0.47848126,1,0,0,0,0,0,0,0,0.17419828,-0.58925146,1.0040401,-2.2400615,1.7157792,0.021047888,2.1879523
-2.763984,4.044891,-0.61020124,-38.65825,4.2323112,1.0910302,0.1307905,0.81031626,-0.70059735,0.77787143,-0.94672227,0.9649176,-0.9896028,0.9842985,0.8616747,-0.09885478,1.4094235,1.0801195,1.7555715,-0.9799701,1.6920121,0.80376494,-0.051266443,1.356643,1.1447091,1.6895268,-0.9095937,1.6225836,0.10832599,-0.7139206,0.8071988,-0.89551145,0.85884696,-0.21865898,0.36246014,3.2374103,-0.46061373,1.4514991,-3.5620396,0,4.119055,2.9200487,-0.13712358,0.49928093,0.31736153,-0.32349014,0.9522182,0.8242067,-0.05001536,0.5579682,-0.08278417,-0.18200973,0.18756661,0.4824526,1,0,0,0,0,0,0,0,0.039398666,-0.25025007,0.58281416,-1.9608437,1.4581679,0.08789449,2.0608454
-3.0197792,4.191478,-0.75567794,-38.25176,4.132938,1.135253,0.11135048,0.7849304,-0.69040513,0.768366,-0.9453794,0.96344054,-0.98942167,0.9840153,0.8602799,-0.10097562,1.4119654,1.0766418,1.7588946,-0.9808321,1.6934327,0.8041874,-0.054121446,1.3598835,1.1411071,1.6929762,-0.91046536,1.6240561,0.105399914,-0.7136765,0.81034863,-0.9021858,0.8636703,-0.21777003,0.37010294,3.223162,-0.46061373,1.4678565,-3.5620396,0,4.0794563,2.906543,-0.13787603,0.5136987,0.31661892,-0.3227377,0.9541578,0.82632977,-0.050774224,0.55517054,-0.07991679,-0.1888253,0.18810657,0.485832,1,0,0,0,0,0,0,0,-0.17071141,0.07623433,0.16653536,-1.713693,1.2329518,0.13909487,1.9428431
-3.497717,4.03554,-1.1082883,-37.894638,4.0490003,1.2072707,0.08967362,0.74783266,-0.67889726,0.75699687,-0.94394505,0.96184796,-0.9892373,0.9837158,0.8580314,-0.10300206,1.4143873,1.073143,1.7622293,-0.98169047,1.6948836,0.8045937,-0.05697156,1.3631308,1.1374812,1.6964428,-0.9113327,1.6255581,0.101054795,-0.7121199,0.81174934,-0.9079704,0.86769974,-0.2167092,0.37730074,3.2089136,-0.46061373,1.4840556,-3.5620396,0,4.039858,2.8930662,-0.13862872,0.5279454,0.31584737,-0.321985,0.95611024,0.82844394,-0.051529493,0.55234927,-0.07704188,-0.19596663,0.18798718,0.48867068,1,0,0,0,0,0,0,0,-0.5342587,0.4047751,-0.2659559,-1.4936327,1.0364949,0.1759827,1.834452
-4.5480094,3.1178808,-1.994511,-37.598602,3.9925482,1.3523235,0.06121371,0.68576646,-0.6651774,0.7423273,-0.94234395,0.9601282,-0.9890493,0.98339415,0.85396886,-0.10486434,1.4165784,1.0696324,1.7655721,-0.9825443,1.6963625,0.8049737,-0.059811186,1.3663781,1.1338344,1.6999238,-0.9121958,1.6270878,0.09371907,-0.7091398,0.81116724,-0.9129522,0.871041,-0.21553013,0.38409302,3.1946652,-0.46061373,1.5000962,-3.5620396,0,4.0002594,2.8796198,-0.13937736,0.54202425,0.31504542,-0.32123637,0.95807195,0.8305456,-0.052278712,0.5495089,-0.07416797,-0.203936,0.18671858,0.4910068,1,0,0,0,0,0,0,0,-1.2884363,0.7617473,-0.76094264,-1.2947916,0.86745614,0.19928066,1.7373114
-7.9113226,-0.92185974,-5.035307,-37.4424,4.0337505,1.7917176,0.005938079,0.5441011,-0.64680094,0.7209451,-0.9403554,0.9582632,-0.98886347,0.9830435,0.844149,-0.10638085,1.4182861,1.0661287,1.7689188,-0.98339397,1.6978669,0.80529606,-0.06263347,1.3696148,1.1301703,1.7034152,-0.9130541,1.6286433,0.077010706,-0.7043485,0.8079266,-0.9171788,0.8738033,-0.2142913,0.39054233,3.1804168,-0.46061373,1.5159785,-3.5620396,0,3.960661,2.866214,-0.14011121,0.5559366,0.31420273,-0.32050252,0.9600419,0.8326304,-0.053012215,0.54665387,-0.07131491,-0.21477412,0.18227874,0.49285078,1,0,0,0,0,0,0,0,-3.6262531,1.2186466,-1.4443694,-1.1065303,0.7293522,0.20547955,1.6619413
-36.309208,-39.66906,-31.376143,-38.526283,5.1670218,5.3833213,-0.31560943,-0.27856013,-0.61200416,0.67925173,-0.9370065,0.9562801,-0.988714,0.9826572,0.78523976,-0.10669777,1.4185209,1.0627059,1.7722673,-0.98424155,1.6993946,0.80531514,-0.06542589,1.372824,1.126492,1.706918,-0.9139072,1.6302245,-0.018370545,-0.6959331,0.7990145,-0.9205206,0.8762483,-0.21314089,0.3969705,3.1661685,-0.46061373,1.5317024,-3.5620396,0,3.9210625,2.8529263,-0.14075327,0.56968516,0.31324223,-0.31986046,0.96201724,0.8346861,-0.05366194,0.5437963,-0.068592794,-0.250633,0.15282173,0.49410078,1,0,0,0,0,0,0,0,-23.154087,2.1610854,-3.0977128,-0.87007874,0.69296354,0.14874338,1.7332731
-24.912071,-9.629011,-20.40327,-39.122887,3.5631828,4.363002,-0.6329547,-0.85157555,-0.26198697,0.24651058,-0.91657287,0.9547585,-0.9886443,0.9831346,0.7440017,-0.084288955,1.3905727,1.0604987,1.7756606,-0.98508954,1.7010102,0.80501807,-0.06806673,1.375848,1.122808,1.7104304,-0.91475546,1.6318314,-0.0921019,-0.6482613,0.7404418,-0.9212324,0.8787887,-0.21195695,0.40326247,3.15192,-0.46061373,1.5472678,-3.5620396,0,3.881464,2.8397508,-0.14129949,0.5832765,0.3121692,-0.31931424,0.9639913,0.83667994,-0.054217193,0.54097956,-0.06609155,-0.276041,0.13094072,0.49319166,1,0,0,0,0,0,0,0,-17.811256,11.956482,-15.456974,-0.24071334,0.74678653,0.13630836,1.6788392
8.173509,64.120926,11.148724,-40.465084,0.09005046,0.9510536,-1.1080203,-0.9028948,0.42765325,-0.5104217,-0.88834983,0.95897114,-0.9872623,0.9831859,0.74000967,-0.037275694,1.3390977,1.0588468,1.7794763,-0.98583835,1.7026207,0.8046104,-0.07029511,1.3783934,1.1191306,1.7139561,-0.91559994,1.6334622,-0.10468279,-0.52673775,0.60086215,-0.9189608,0.88245964,-0.21108456,0.40916526,3.1376717,-0.46061373,1.5626749,-3.5620396,0,3.8418655,2.8265882,-0.14183354,0.5967217,0.3110835,-0.31878018,0.9659532,0.8385525,-0.054732457,0.53828675,-0.06388589,-0.27163938,0.1340723,0.48940182,1,0,0,0,0,0,0,0,-2.7148201,30.368326,-35.49513,0.46342608,1.0645686,0.05061179,1.5064328
15.391113,77.79366,18.166409,-41.072086,-0.4103396,0.08508295,-1.1348474,-0.90088826,0.61419463,-0.67683536,-0.89746445,0.9670216,-0.98294777,0.9800591,0.7397464,-0.026073094,1.3296613,1.0545132,1.7835817,-0.9863722,1.7040265,0.8041855,-0.07201399,1.3803675,1.115457,1.7175019,-0.91644347,1.6351159,-0.106382556,-0.39742443,0.45707372,-0.9183791,0.88785917,-0.21102445,0.41470614,3.1234233,-0.46061373,1.5779235,-3.5620396,0,3.802267,2.8133883,-0.14239907,0.6100219,0.31003508,-0.31821465,0.96790165,0.8402865,-0.055240363,0.5357466,-0.06198808,-0.2605281,0.1436475,0.4861232,1,0,0,0,0,0,0,0,-0.10421126,32.301083,-36.40373,0.056862827,1.4882385,-0.1039952,1.3892798
15.066432,73.57062,17.830685,-40.268723,-0.18726325,0.013830304,-1.0232393,-0.90103775,0.64360857,-0.69721967,-0.89616334,0.9669976,-0.98195714,0.97973573,0.7393108,-0.025674168,1.3301677,1.0509332,1.7871257,-0.98714435,1.7056569,0.80375636,-0.07324912,1.3818047,1.1117854,1.7210705,-0.9172894,1.6367905,-0.107380144,-0.27926677,0.3263424,-0.9179689,0.89374024,-0.21166587,0.420043,3.109175,-0.46061373,1.5930138,-3.5620396,0,3.7626686,2.8001444,-0.14300251,0.62317646,0.30903044,-0.31761122,0.9698373,0.8418918,-0.055749007,0.5333526,-0.060374063,-0.2492752,0.1535009,0.48297423,1,0,0,0,0,0,0,0,-0.024802981,29.509007,-33.013103,0.038504597,1.5901028,-0.23413448,1.3286917
