torque0,torque1,torque2,torque3,torque4,torque5,torque6,action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,to_target_0,to_target_1,to_target_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2,joint_acc_0,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6
80.88892,6.317772,-41.465908,-24.3876,110,40,-40,0.9841565,-0.99173516,0.9863378,-0.94525117,0.97802347,-0.98430437,0.9507669,0.8895483,0.017259102,1.4065963,1.2543181,1.6100788,-1.0605199,1.6752303,0.858704,0.04715804,1.3752002,1.2948372,1.5644155,-1.0047803,1.6176776,1.6246574,-0.91858906,-0.14425293,-0.2476064,2.3212886,-0.7871688,-1.6969911,3.5526285,-0.5207224,1.1762459,-3.4277043,0,4.4772,3.1574154,-0.25361633,0.3103693,0.39521313,-0.26710606,0.8658766,0.7428431,-0.11347628,0.6585801,-0.039742306,0.007928356,0.4292108,0.4009548,1,0,0,0,0,0,0,0,906.373,100.891014,-901.15784,341.7992,1790.5585,741.28314,-2245.497
79.737656,6.583336,-41.48524,-23.143982,110,39.275887,-40,0.9839347,-0.9916962,0.9860674,-0.9438908,0.97804344,-0.9842361,0.9509243,0.89241356,0.013182525,1.4096138,1.2520224,1.6122026,-1.0666296,1.6774336,0.8616108,0.043068957,1.3782339,1.2923844,1.5666203,-1.0108695,1.6198882,1.6246347,-0.9202456,-0.14099188,-0.27855194,2.3212886,-0.80869657,-1.6695286,3.5389185,-0.5207224,1.1940356,-3.4277043,0,4.4374785,3.143793,-0.2554481,0.32684815,0.3951254,-0.2652743,0.8671875,0.74459404,-0.11612894,0.65646183,-0.033934228,-0.000357963,0.43307438,0.41477606,1,0,0,0,0,0,0,0,897.8923,102.02297,-899.5275,334.6675,1770.1255,713.64575,-2222.104
78.58402,6.792038,-41.50429,-22.161304,110,37.057327,-40,0.98370075,-0.9916529,0.98579437,-0.9424384,0.978056,-0.98417103,0.95108104,0.89531237,0.009094927,1.4126382,1.2496353,1.6144081,-1.0727148,1.6796541,0.8645514,0.038975965,1.3812581,1.2898524,1.5689034,-1.0169892,1.6221112,1.6246595,-0.919137,-0.14581297,-0.30573425,2.321288,-0.86666983,-1.6419919,3.5252085,-0.5207224,1.2116663,-3.4277043,0,4.397757,3.1302052,-0.25729465,0.3431192,0.39500332,-0.26342773,0.86854714,0.7463406,-0.1188146,0.6542695,-0.028111514,-0.010661596,0.43929613,0.42541158,1,0,0,0,0,0,0,0,889.4213,104.11107,-901.9379,327.41937,1750.4169,663.04297,-2197.975
77.15921,7.051506,-41.522488,-21.42332,110,33.748848,-40,0.9834459,-0.99160135,0.98553795,-0.9409007,0.9780606,-0.9841145,0.95127267,0.89824426,0.005003702,1.4156535,1.2471731,1.6166915,-1.078831,1.6818892,0.8675345,0.034879014,1.384269,1.2872536,1.5712676,-1.0231203,1.6243371,1.6247411,-0.9172967,-0.15268071,-0.32976374,2.3212883,-0.9370949,-1.6160988,3.5114985,-0.5207224,1.2291383,-3.4277043,0,4.3580356,3.1166506,-0.2591548,0.3591867,0.39484787,-0.2615676,0.86995155,0.7480819,-0.12152778,0.6520031,-0.022278354,-0.021608956,0.4461629,0.43403333,1,0,0,0,0,0,0,0,878.9693,106.939514,-905.3725,319.84958,1730.2893,595.6366,-2172.6226
75.63015,7.3347626,-41.540493,-20.865082,110,30.141396,-40,0.9831758,-0.99154615,0.98528343,-0.9392885,0.97805494,-0.9840595,0.9514872,0.9012181,0.0009086393,1.4186554,1.2446475,1.6190554,-1.0849586,1.6841285,0.87056285,0.030777598,1.3872656,1.2846005,1.57371,-1.0292562,1.6265572,1.6248779,-0.91535693,-0.15951338,-0.35110417,2.3212886,-1.0100526,-1.592183,3.4977884,-0.5207224,1.2464513,-3.4277043,0,4.318314,3.103128,-0.26102495,0.37505692,0.39466047,-0.25969744,0.87139434,0.7498155,-0.12426583,0.64966494,-0.01643639,-0.03269638,0.45291954,0.44121853,1,0,0,0,0,0,0,0,867.7779,109.993004,-908.788,312.23425,1710.5581,524.0666,-2147.3147
74.082504,7.621872,-41.558823,-20.446148,110,26.548767,-40,0.9828927,-0.9914892,0.98502314,-0.9375981,0.97803926,-0.9840032,0.95171577,0.90423673,-0.0031908248,1.4216429,1.242071,1.6214969,-1.091091,1.6863631,0.8736366,0.026671553,1.3902506,1.2819016,1.5762286,-1.035396,1.6287669,1.6249027,-0.9134564,-0.16557503,-0.370142,2.3212883,-1.0816002,-1.5701268,3.4840784,-0.5207224,1.2636054,-3.4277043,0,4.2785926,3.0896368,-0.26290298,0.39073426,0.3944416,-0.2578194,0.8728711,0.751539,-0.12702806,0.64725643,-0.010585777,-0.04374452,0.45924038,0.44728684,1,0,0,0,0,0,0,0,856.3925,113.054955,-911.8187,304.68576,1691.5154,453.33054,-2122.5437
72.561676,7.898514,-41.578022,-20.135666,110,23.084976,-40,0.9825968,-0.9914311,0.98475254,-0.9358157,0.97801435,-0.98394436,0.95195293,0.90730035,-0.00729488,1.4246185,1.239453,1.6240144,-1.0972271,1.6885877,0.87675524,0.022561172,1.3932242,1.2791636,1.5788207,-1.0415386,1.6309623,1.6249027,-0.91155386,-0.17098202,-0.3871843,2.321288,-1.1504173,-1.5496634,3.4703684,-0.5207224,1.2806005,-3.4277043,0,4.238871,3.0761776,-0.26478982,0.40622234,0.3941908,-0.25593257,0.8743782,0.75324905,-0.12981384,0.6447804,-0.0047274935,-0.054716848,0.46499375,0.45243093,1,0,0,0,0,0,0,0,845.2056,116.03903,-914.52325,297.25317,1673.2212,385.22372,-2098.4631
71.0895,8.157822,-41.598015,-19.91484,109.47329,19.783035,-40,0.9822886,-0.9913723,0.984469,-0.93392515,0.97798115,-0.98388284,0.9521922,0.91040844,-0.011403246,1.4275823,1.2368008,1.6266049,-1.1033658,1.690798,0.87991726,0.018447066,1.3961883,1.2763941,1.5814834,-1.047684,1.6331404,1.6249022,-0.9096098,-0.1758896,-0.40249863,2.3212886,-1.2161006,-1.5305431,3.4566584,-0.5207224,1.2974368,-3.4277043,0,4.1991496,3.0627499,-0.26668167,0.42152548,0.3939085,-0.25404072,0.87591136,0.75494385,-0.13262224,0.6422381,0.0011384954,-0.06561646,0.47013265,0.45679462,1,0,0,0,0,0,0,0,834.3875,118.91436,-916.9767,289.9538,1655.6682,320.23862,-2075.1003
69.677864,8.396187,-41.619213,-19.76416,107.73741,16.643547,-40,0.9819675,-0.9913126,0.9841701,-0.9319083,0.9779402,-0.98381865,0.95243,0.9135595,-0.015515307,1.4305358,1.2341228,1.6292655,-1.1095071,1.6929911,0.8831209,0.014330044,1.3991435,1.273598,1.5842128,-1.0538323,1.6352996,1.6249022,-0.9075812,-0.18046995,-0.4163059,2.3212883,-1.2787452,-1.5125514,3.4429483,-0.5207224,1.3141143,-3.4277043,0,4.159428,3.0493536,-0.2685778,0.43664718,0.39359474,-0.25214458,0.87746716,0.7566201,-0.13545233,0.6396322,0.0070109298,-0.07646292,0.47464892,0.46047288,1,0,0,0,0,0,0,0,824.0269,121.67542,-919.26654,282.7919,1638.8147,258.36633,-2052.437
68.33151,8.612473,-41.64167,-19.67033,106.06622,13.660637,-40,0.98163235,-0.99125206,0.98385376,-0.92974585,0.9778918,-0.98375183,0.9526648,0.9167516,-0.019630253,1.4334799,1.2314247,1.6319926,-1.1156512,1.695165,0.88636416,0.010210959,1.4020891,1.2707798,1.587007,-1.0599844,1.6374395,1.6249021,-0.9054461,-0.18484825,-0.4287883,2.321289,-1.338424,-1.4955142,3.4292383,-0.5207224,1.3306328,-3.4277043,0,4.1197066,3.0359902,-0.27047706,0.45158917,0.39324808,-0.25024533,0.87904364,0.7582761,-0.138303,0.63696426,0.012888874,-0.087270916,0.47854283,0.46355274,1,0,0,0,0,0,0,0,814.1624,124.324524,-921.4557,275.7646,1622.6027,199.47939,-2030.4237
