current_joint_pos_0,current_joint_pos_1,current_joint_pos_2,current_joint_pos_3,current_joint_pos_4,current_joint_pos_5,current_joint_pos_6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,predicted_next_joint_pos_0,predicted_next_joint_pos_1,predicted_next_joint_pos_2,predicted_next_joint_pos_3,predicted_next_joint_pos_4,predicted_next_joint_pos_5,predicted_next_joint_pos_6,actual_next_joint_pos_0,actual_next_joint_pos_1,actual_next_joint_pos_2,actual_next_joint_pos_3,actual_next_joint_pos_4,actual_next_joint_pos_5,actual_next_joint_pos_6,abs_error_0,abs_error_1,abs_error_2,abs_error_3,abs_error_4,abs_error_5,abs_error_6,timestep
1.57279,-0.894062,-1.86007,-0.968335,2.07786,1.27715,-1.0578,1.49165,-0.818648,-1.85039,-0.923098,2.14197,1.34092,-1.10962,1.552442267105997,-0.8747973718280473,-1.8594578775728587,-0.9612296011739456,2.0856723508113206,1.2881463089339205,-1.0554420704022751,1.56164,-0.883729,-1.85844,-0.961866,2.08668,1.28589,-1.06513,0.009197732894002941,0.008931628171952699,0.0010178775728586498,0.000636398826054374,0.0010076491886792383,0.002256308933920481,0.009687929597724798,17
1.56164,-0.883729,-1.85844,-0.961866,2.08668,1.28589,-1.06513,1.48031,-0.808216,-1.84924,-0.918461,2.15103,1.34962,-1.11649,1.539208201230684,-0.8639234769140993,-1.8574775562796628,-0.9550264587635326,2.093539137251916,1.2980384754447636,-1.0615461731696858,1.55048,-0.873352,-1.85696,-0.95552,2.0955,1.29466,-1.07236,0.011271798769316055,0.009428523085900697,0.0005175562796628785,0.0004935412364673875,0.001960862748084047,0.0033784754447636622,0.010813826830314177,18
1.55048,-0.873352,-1.85696,-0.95552,2.0955,1.29466,-1.07236,1.46876,-0.797894,-1.8491,-0.911825,2.15967,1.35824,-1.12302,1.5266319216948503,-0.8533966886886553,-1.8558694469225885,-0.9486256010619493,2.1016060208167184,1.307380336545605,-1.0679010938465712,1.53929,-0.862947,-1.85567,-0.949319,2.10434,1.30346,-1.07947,0.012658078305149756,0.009550311311344761,0.00019944692258855312,0.0006933989380507599,0.002733979183281665,0.003920336545604863,0.01156890615342876,19
1.53929,-0.862947,-1.85567,-0.949319,2.10434,1.30346,-1.07947,1.4573,-0.787513,-1.84838,-0.907169,2.16875,1.36703,-1.12978,1.5132496515509946,-0.8425347512088088,-1.854335038908886,-0.9426221404372092,2.1094327051452058,1.3174640292068611,-1.0737228889348598,1.52807,-0.852532,-1.85445,-0.943388,2.11322,1.31225,-1.08652,0.014820348449005483,0.009997248791191127,0.00011496109111397423,0.0007658595627908493,0.003787294854794343,0.005214029206861204,0.012797111065140143,20
1.52807,-0.852532,-1.85445,-0.943388,2.11322,1.31225,-1.08652,1.44591,-0.777023,-1.84687,-0.904046,2.17793,1.37571,-1.13651,1.498958758850213,-0.8312593178608376,-1.8527326943517881,-0.937046981525743,2.116983913412576,1.3283326119533498,-1.079040404843729,1.51679,-0.84213,-1.85339,-0.937411,2.12207,1.32101,-1.09349,0.01783124114978718,0.010870682139162424,0.000657305648211981,0.00036401847425704403,0.0050860865874238215,0.007322611953349822,0.014449595156271089,21
1.51679,-0.84213,-1.85339,-0.937411,2.12207,1.32101,-1.09349,1.43444,-0.766622,-1.84624,-0.90059,2.18696,1.38446,-1.1429,1.4845843172210902,-0.8200531822601065,-1.8515081226597674,-0.9313764751850279,2.1245934799901947,1.33913423501307,-1.08437264885129,1.50548,-0.831735,-1.85242,-0.931604,2.13094,1.32976,-1.1004,0.02089568277890974,0.011681817739893519,0.0009118773402325697,0.0002275248149721243,0.006346520009805179,0.009374235013069887,0.016027351148710123,22
1.50548,-0.831735,-1.85242,-0.931604,2.13094,1.32976,-1.1004,1.42293,-0.756235,-1.8458,-0.897166,2.19613,1.39318,-1.14931,1.4701042230521413,-0.808828957892622,-1.8504125516317564,-0.9258419613950547,2.1321951435894935,1.3500131378858526,-1.089593387439386,1.49415,-0.821327,-1.85139,-0.92626,2.13987,1.33851,-1.10728,0.02404577694785881,0.012498042107378038,0.0009774483682436497,0.00041803860494527,0.007674856410506692,0.011503137885852555,0.0176866125606141,23
1.49415,-0.821327,-1.85139,-0.92626,2.13987,1.33851,-1.10728,1.41126,-0.745859,-1.84669,-0.891308,2.20482,1.40192,-1.15523,1.4567800005359164,-0.7982141819719832,-1.8496463711010644,-0.9203564458127501,2.140316761657336,1.359776066636254,-1.0954300037773554,1.48279,-0.810916,-1.85039,-0.921307,2.14883,1.34725,-1.11408,0.026009999464083666,0.012701818028016731,0.0007436288989355333,0.0009505541872498746,0.008513238342663598,0.012526066636253885,0.018649996222644516,24
1.48279,-0.810916,-1.85039,-0.921307,2.14883,1.34725,-1.11408,1.39973,-0.735507,-1.84629,-0.88947,2.21416,1.41074,-1.16172,1.4415041794349168,-0.7867541902869946,-1.8486458922189681,-0.9157518168072043,2.1477935731881868,1.371273569565135,-1.100251164682941,1.4714,-0.800508,-1.8495,-0.916658,2.15782,1.356,-1.1208,0.02989582056508322,0.013753809713005438,0.0008541077810317876,0.0009061831927956732,0.010026426811813316,0.015273569565134926,0.02054883531705909,25
1.4714,-0.800508,-1.8495,-0.916658,2.15782,1.356,-1.1208,1.38811,-0.725175,-1.84674,-0.886591,2.22304,1.41939,-1.16765,1.4266298047171926,-0.7755148800263638,-1.847991481750527,-0.9112371000825219,2.155476931927209,1.3823663681313176,-1.1052565323865544,1.45997,-0.790107,-1.8489,-0.911882,2.16678,1.36473,-1.12738,0.033340195282807406,0.014592119973636186,0.0009085182494730226,0.0006448999174780701,0.011303068072791245,0.017636368131317637,0.022123467613445635,26
