current_joint_pos_0,current_joint_pos_1,current_joint_pos_2,current_joint_pos_3,current_joint_pos_4,current_joint_pos_5,current_joint_pos_6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,predicted_next_joint_pos_0,predicted_next_joint_pos_1,predicted_next_joint_pos_2,predicted_next_joint_pos_3,predicted_next_joint_pos_4,predicted_next_joint_pos_5,predicted_next_joint_pos_6,actual_next_joint_pos_0,actual_next_joint_pos_1,actual_next_joint_pos_2,actual_next_joint_pos_3,actual_next_joint_pos_4,actual_next_joint_pos_5,actual_next_joint_pos_6,abs_error_0,abs_error_1,abs_error_2,abs_error_3,abs_error_4,abs_error_5,abs_error_6,timestep
1.4579798,-0.84894496,-1.8663547,-0.83312285,2.1216073,1.3054892,-0.9916801,1.3922062,-0.78630966,-1.8615947,-0.79781264,2.1735332,1.3678852,-1.0402486,1.4418493743633425,-0.8351221621379217,-1.8656333324115089,-0.8257553822966729,2.1297523210649065,1.3115797950766006,-0.99527777914471,1.4436938,-0.8353475,-1.8650672,-0.825235,2.130015,1.3103796,-0.9956483,0.0018444256366574319,0.00022533786207834527,0.000566132411508935,0.0005203822966728389,0.00026267893509368534,0.0012001950766005187,0.0003705208552899908,25
1.4436938,-0.8353475,-1.8650672,-0.825235,2.130015,1.3103796,-0.9956483,1.3785946,-0.7724977,-1.8576503,-0.79162705,2.1819203,1.3734887,-1.0430394,1.4273121337862378,-0.8215329151650186,-1.8638020865367748,-0.8181923674974134,2.1383357276843515,1.3165223156173878,-0.9992434478594292,1.4294211,-0.8217004,-1.8633373,-0.8181702,2.138598,1.3152701,-0.9995803,0.002108966213762109,0.00016748483498141287,0.0004647865367748416,2.2167497413461135e-05,0.00026227231564845965,0.001252215617387753,0.00033685214057077584,26
1.4294211,-0.8217004,-1.8633373,-0.8181702,2.138598,1.3152701,-0.9995803,1.3639252,-0.7588292,-1.8521851,-0.79198766,2.1927562,1.3770779,-1.0466028,1.4136729658854374,-0.8081796519344053,-1.860904064614057,-0.8122802300210135,2.146921988446518,1.321128951994016,-1.0031814289767633,1.4151694,-0.8079713,-1.8609073,-0.8124119,2.1473832,1.3201624,-1.0034673,0.0014964341145624616,0.0002083519344053819,3.235385942934599e-06,0.0001316699789865039,0.00046121155348233245,0.0009665519940158518,0.00028587102323673896,27
1.4151694,-0.8079713,-1.8609073,-0.8124119,2.1473832,1.3201624,-1.0034673,1.3500835,-0.74403876,-1.8445454,-0.79675484,2.2028382,1.3820201,-1.0490088,1.3995470221647608,-0.7943533998794885,-1.8573271845885149,-0.8083881887388958,2.155963081096897,1.3260138943015791,-1.007169927922282,1.4009558,-0.79413635,-1.8574779,-0.8083836,2.1563554,1.3250643,-1.0072896,0.0014087778352391833,0.00021704987948845123,0.0001507154114850362,4.588738895860978e-06,0.00039231890310276185,0.0009495943015791486,0.00011967207771790278,28
1.4009558,-0.79413635,-1.8574779,-0.8083836,2.1563554,1.3250643,-1.0072896,1.336102,-0.72980374,-1.8346689,-0.8018309,2.2120888,1.3861666,-1.0502621,1.3854496339276237,-0.7806148446608174,-1.8525293341945455,-0.8060592383057694,2.1649341491157035,1.3309616915889424,-1.0109218148674557,1.3868147,-0.780166,-1.8529212,-0.80657065,2.1654916,1.3299814,-1.0110223,0.0013650660723762975,0.0004488446608174046,0.00039186580545447214,0.0005114116942305236,0.0005574508842967063,0.0009802915889423058,0.00010048513254434788,29
1.3868147,-0.780166,-1.8529212,-0.80657065,2.1654916,1.3299814,-1.0110223,1.3225532,-0.7150162,-1.8260416,-0.81349194,2.2217357,1.3908457,-1.0511144,1.3723326855272058,-0.7667499654407208,-1.847260150942527,-0.8069356830720721,2.1745438160369344,1.3352932652692378,-1.0149587250115604,1.3727614,-0.7660697,-1.8473423,-0.8075024,2.1747956,1.3349215,-1.0146348,0.0004287144727941339,0.0006802654407208619,8.214905747294665e-05,0.0005667169279278683,0.00025178396306557715,0.00037176526923765607,0.00032392501156031095,30
1.3727614,-0.7660697,-1.8473423,-0.8075024,2.1747956,1.3349215,-1.0146348,1.3086883,-0.700867,-1.8182741,-0.82997733,2.2323499,1.3952073,-1.0514158,1.3597627017251295,-0.7529534098735005,-1.8412368632655076,-0.8112457155790852,2.1844249667218385,1.3392796763698174,-1.0188400867126888,1.3588244,-0.7518714,-1.8408573,-0.8110329,2.1842523,1.3398787,-1.0180566,0.0009383017251294312,0.001082009873500489,0.0003795632655076986,0.00021281557908525706,0.00017266672183868792,0.0005990236301827156,0.0007834867126887968,31
1.3588244,-0.7518714,-1.8408573,-0.8110329,2.1842523,1.3398787,-1.0180566,1.2954863,-0.6864387,-1.8077141,-0.8374661,2.2420034,1.3995435,-1.046079,1.3460891395126673,-0.7382339670009719,-1.8338127902220316,-0.8158991189916018,2.1939519716774765,1.3442371057107803,-1.0214697643488557,1.3450037,-0.73759586,-1.8336627,-0.81593573,2.1938004,1.3448378,-1.0211809,0.0010854395126673744,0.0006381070009718881,0.0001500902220314959,3.661100839813525e-05,0.00015157167747625877,0.0006006942892198275,0.00028886434885566636,32
1.3450037,-0.73759586,-1.8336627,-0.81593573,2.1938004,1.3448378,-1.0211809,1.2818568,-0.671957,-1.7988489,-0.83214766,2.2503762,1.4044589,-1.0364269,1.3307346932846764,-0.7228076770415692,-1.8263080622087953,-0.818815638792663,2.203272474227855,1.3501954821393687,-1.023295214821975,1.331246,-0.72328883,-1.8260524,-0.82055247,2.2033448,1.3497797,-1.0239007,0.0005113067153235118,0.0004811529584307639,0.0002556622087952487,0.0017368312073370307,7.232577214510982e-05,0.00041578213936865893,0.0006054851780250559,33
1.331246,-0.72328883,-1.8260524,-0.82055247,2.2033448,1.3497797,-1.0239007,1.2677021,-0.65802205,-1.7915492,-0.82415825,2.2583718,1.4100262,-1.0257173,1.3152251297108233,-0.7078071570775111,-1.8188553568771235,-0.8211009539424803,2.212654663248607,1.356102075995119,-1.0249814487409603,1.3173681,-0.7090209,-1.8184097,-0.8230473,2.2127938,1.3546835,-1.0261648,0.002142970289176649,0.0012137429224888807,0.00044565687712361246,0.0019463460575197544,0.00013913675139320958,0.0014185759951190757,0.0011833512590397888,34
