action_0,action_1,action_2,action_3,action_4,action_5,action_6
-0.471951,0.498439,0.676235,0.71653,0.716761,-0.355979,0.391631
-0.473732,0.487792,0.675084,0.716693,0.717561,-0.359704,0.392954
-0.475677,0.476509,0.673891,0.716802,0.718324,-0.363486,0.394246
-0.478106,0.464479,0.672534,0.7168,0.718991,-0.367384,0.395487
-0.479492,0.452971,0.671416,0.716724,0.719798,-0.371242,0.396494
-0.480137,0.442747,0.670702,0.716492,0.720605,-0.374773,0.397352
-0.479967,0.433961,0.669994,0.716053,0.721386,-0.377572,0.397796
-0.478962,0.427771,0.669482,0.715586,0.722099,-0.379532,0.397879
-0.477904,0.424198,0.669209,0.71524,0.722616,-0.380831,0.397878
-0.47723,0.422625,0.669077,0.71498,0.722887,-0.381597,0.39785
-0.477014,0.421837,0.668962,0.714789,0.722974,-0.382053,0.397861
-0.477267,0.420413,0.668718,0.714553,0.722971,-0.38261,0.397956
-0.477709,0.418292,0.6684,0.71426,0.722969,-0.383393,0.398072
-0.47808,0.415705,0.668053,0.713941,0.723017,-0.384317,0.398171
-0.478466,0.412515,0.667652,0.713517,0.7231,-0.385487,0.39825
-0.478659,0.409163,0.667273,0.71308,0.723241,-0.38674,0.398279
-0.478917,0.405965,0.666882,0.712581,0.72334,-0.388058,0.39833
-0.479579,0.402936,0.666448,0.712006,0.723312,-0.389353,0.398443
-0.480263,0.399891,0.666046,0.711476,0.72328,-0.390606,0.398569
-0.480884,0.397207,0.66569,0.711007,0.723244,-0.391736,0.398681
-0.481444,0.394703,0.665353,0.710577,0.723208,-0.392759,0.39879
-0.481994,0.392208,0.665016,0.710154,0.723171,-0.393753,0.398899
-0.482387,0.38958,0.664685,0.709767,0.723172,-0.394713,0.398989
-0.482673,0.386832,0.66435,0.709385,0.723201,-0.395683,0.399076
-0.482816,0.384303,0.66405,0.709042,0.723249,-0.396582,0.399149
-0.482936,0.381988,0.663767,0.70871,0.72329,-0.397421,0.399223
-0.482994,0.379809,0.663505,0.708415,0.723336,-0.398182,0.39929
-0.482971,0.377742,0.66326,0.708166,0.723394,-0.398872,0.399355
-0.482885,0.375864,0.663035,0.708001,0.723459,-0.399469,0.399442
-0.482705,0.374221,0.662842,0.707881,0.723533,-0.399963,0.399518
-0.482399,0.373156,0.66272,0.707836,0.723608,-0.400285,0.399572
-0.48206,0.372368,0.662629,0.707835,0.723674,-0.4005,0.399618
-0.481632,0.371941,0.662579,0.707899,0.723743,-0.400572,0.399648
-0.481264,0.371148,0.662477,0.707941,0.723811,-0.400688,0.399698
-0.480751,0.370471,0.662417,0.708019,0.723909,-0.400783,0.399721
-0.480053,0.370051,0.662399,0.708146,0.724039,-0.400784,0.399721
-0.478903,0.370523,0.662516,0.708411,0.724233,-0.400504,0.399643
-0.47633,0.375032,0.663223,0.709204,0.724598,-0.399044,0.399287
-0.47241,0.386615,0.664735,0.710688,0.72496,-0.395469,0.398634
-0.467747,0.404454,0.666902,0.71316,0.725158,-0.389416,0.397873
-0.462395,0.426977,0.669882,0.716196,0.725161,-0.381518,0.396523
-0.45899,0.450575,0.672412,0.718456,0.724309,-0.372124,0.394904
-0.455344,0.474597,0.674275,0.71929,0.722833,-0.36188,0.392487
-0.450157,0.49928,0.676716,0.719691,0.721186,-0.351636,0.389889
-0.445012,0.521496,0.679194,0.719817,0.719298,-0.341654,0.387424
-0.441679,0.539815,0.681113,0.719669,0.717206,-0.332782,0.385073
-0.439037,0.555151,0.682695,0.71927,0.715178,-0.325118,0.382698
-0.437414,0.567242,0.683909,0.718855,0.713272,-0.318506,0.380544
