ball_x,ball_y,ball_z
-0.178001,-0.60663,0.116328
-0.178013,-0.60664,0.116342
-0.177991,-0.606638,0.116338
-0.177998,-0.606639,0.116357
-0.178011,-0.606639,0.116371
-0.178036,-0.606651,0.116381
-0.178023,-0.606647,0.116392
-0.178024,-0.606645,0.116404
-0.178028,-0.606645,0.116399
-0.178034,-0.606643,0.116399
-0.178051,-0.606638,0.1164
-0.17803,-0.606635,0.116388
-0.17803,-0.606639,0.116376
-0.178046,-0.606643,0.11636
-0.178026,-0.606634,0.116354
-0.17802,-0.606628,0.116338
-0.178001,-0.606624,0.116329
-0.178018,-0.606638,0.116332
-0.178,-0.606627,0.116346
-0.177996,-0.606646,0.116339
-0.178017,-0.606649,0.116353
-0.178007,-0.606634,0.116365
-0.178025,-0.606642,0.116374
-0.178027,-0.606639,0.116388
-0.178037,-0.606655,0.116395
-0.178041,-0.606656,0.116399
-0.178039,-0.606641,0.116408
-0.178036,-0.606633,0.116395
-0.178038,-0.606632,0.116387
-0.178045,-0.606641,0.11638
-0.178016,-0.606637,0.116366
-0.178023,-0.606631,0.116352
-0.177996,-0.606627,0.116348
-0.178011,-0.606644,0.116339
-0.177993,-0.606641,0.116339
-0.177991,-0.606642,0.116332
-0.178002,-0.606653,0.116344
-0.177992,-0.606647,0.116355
-0.178013,-0.606652,0.116365
-0.178021,-0.606648,0.11638
-0.178044,-0.606655,0.116389
