action0,action1,action2,action3,action4,action5,action6,set_target_0,set_target_1,set_target_2,set_target_3,set_target_4,set_target_5,set_target_6,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,to_target_pos0,to_target_pos1,to_target_pos2,to_target_vel0,to_target_vel1,to_target_vel2,ee_orien0,ee_orien1,ee_orien2,ee_orien3,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,to_final_target_0,to_final_target_1,to_final_target_2
-0.8961961,0.78660965,0.37231413,0.026229644,-0.059886593,-0.44756407,-0.6711704,0.5250445,-1.5822994,1.773909,1.2434422,0.8021017,-1.5725906,0.45307598,0.53813213,-1.614511,1.7619033,1.2427557,0.8038651,-1.5612043,0.47128767,-1.0698068,-0.21617314,0.0015872237,-0.00235197,-0.09285472,-0.7859178,-1.0247344,0.7773199,0.016122341,0.7173928,-3.8264835,-0.33093295,-3.4786613,0.8359051,-0.25472987,0.21363407,-0.43673313,0.5609894,-0.560442,1.1692332,-4.470119,-0.048752014,-3.5981102,-0.21633053,-0.5765643,0.4518404,-0.6436356,0.28218094,-0.11944894,1,0,0,0,0,0,0,0
-0.89595443,0.656197,0.24143814,0.022283264,0.30341285,-0.3458314,-0.66109717,0.5074829,-1.5920635,1.770331,1.2437668,0.8186926,-1.5829335,0.4297497,0.51965904,-1.6192394,1.7599379,1.2440926,0.8105834,-1.5744642,0.4475968,-1.0894009,-0.23298168,-0.10401274,0.010657043,0.44074672,-0.61877733,-0.9845936,0.71383715,0.010486603,0.65819913,-3.79323,-0.31659067,-3.6303823,0.8292368,-0.25639617,0.20622878,-0.4517709,0.4864874,-0.5612545,1.1072183,-4.470119,-0.048752014,-3.7618241,-0.22734976,-0.5717411,0.44901913,-0.676889,0.26783866,-0.13144173,1,0,0,0,0,0,0,0
-0.8692379,0.5413588,0.11835647,0.11659847,0.32270688,-0.21152845,-0.648916,0.48992375,-1.6007204,1.7640693,1.2493837,0.82635385,-1.587755,0.40682417,0.5004298,-1.6248397,1.7565923,1.2464604,0.8197965,-1.5827279,0.42434007,-1.1417326,-0.2965576,-0.19863176,0.09629275,0.43716514,-0.3892335,-0.97279704,0.6503496,0.004919052,0.5970012,-3.8076508,-0.31581184,-3.7344668,0.8227869,-0.25479746,0.19958322,-0.46718988,0.4119854,-0.56206703,1.0424747,-4.470119,-0.048752014,-3.925538,-0.23836422,-0.5669861,0.44547358,-0.66246814,0.26705983,-0.19107127,1,0,0,0,0,0,0,0
-0.8612633,0.5867943,0.24890298,0.20591159,0.36304167,-0.15386555,-0.6538274,0.47096732,-1.6047664,1.7652806,1.2558044,0.83753806,-1.5923955,0.38325888,0.48060885,-1.6321485,1.7537059,1.2506809,0.82974756,-1.5882798,0.40103367,-1.1605963,-0.40759438,-0.10666823,0.20473917,0.49827188,-0.31231144,-0.9806597,0.58658266,-0.0009880066,0.53358483,-3.8210225,-0.34510612,-3.8897696,0.8164235,-0.25161842,0.19265474,-0.48272657,0.3374834,-0.56287956,0.9750027,-4.470119,-0.048752014,-4.0892515,-0.24909925,-0.56189156,0.4414179,-0.6490966,0.29635412,-0.19948193,1,0,0,0,0,0,0,0
-0.8543796,0.29858992,0.082257226,0.22506101,0.31543726,-0.21249872,-0.6231998,0.45138183,-1.6219342,1.7565771,1.2608938,0.84516275,-1.6016315,0.36187688,0.46050003,-1.6410447,1.7504534,1.2559093,0.8390043,-1.595929,0.37866122,-1.1816965,-0.5030283,-0.19990233,0.25285757,0.42833045,-0.4382637,-0.9338583,0.52254677,-0.007359028,0.4683545,-3.8380342,-0.36632365,-3.9694982,0.8103049,-0.24871714,0.18515646,-0.49725515,0.2629814,-0.5636921,0.9048021,-4.470119,-0.048752014,-4.252965,-0.25956535,-0.55633307,0.4364476,-0.6320848,0.31757164,-0.28346694,1,0,0,0,0,0,0,0
-0.8668247,0.043348506,0.058763456,0.28465033,0.42115104,-0.012095926,-0.630653,0.4308473,-1.6395619,1.7525046,1.2688264,0.8595856,-1.596689,0.3390361,0.43972757,-1.6527188,1.7470667,1.2634662,0.8504108,-1.5971848,0.35612774,-1.2033817,-0.6978529,-0.1785012,0.36644143,0.5769082,-0.0834674,-0.9444816,0.45812464,-0.013741493,0.40147707,-3.8494313,-0.35626405,-4.0707865,0.80456036,-0.24193698,0.1777746,-0.5123916,0.18847942,-0.5645046,0.83187294,-4.470119,-0.048752014,-4.4166784,-0.2696452,-0.55076313,0.43039587,-0.6206877,0.30751204,-0.34589195,1,0,0,0,0,0,0,0
-0.86818224,-0.15424433,0.1878518,0.21590881,0.10811854,0.10386165,-0.61420834,0.4100284,-1.6579952,1.753624,1.2732638,0.8556945,-1.5906589,0.31753588,0.41945177,-1.6687506,1.7465508,1.2700577,0.8535708,-1.5941622,0.33434543,-1.1645826,-0.93933547,-0.03508609,0.2699726,0.11798324,0.08217589,-0.93747383,0.39360094,-0.01992321,0.3331864,-3.8500657,-0.3398029,-4.1514826,0.79752946,-0.23460068,0.17264834,-0.52830076,0.11397743,-0.56531715,0.7562152,-4.470119,-0.048752014,-4.580392,-0.2796235,-0.54539394,0.42302883,-0.6200534,0.29105088,-0.42890948,1,0,0,0,0,0,0,0
-0.8491948,-0.6452359,-0.12175003,0.19080043,0.16820565,0.016981881,-0.58715403,0.39040214,-1.6908232,1.7423009,1.278716,0.8617909,-1.5930952,0.29745346,0.3993694,-1.6877766,1.7438864,1.2758739,0.8578103,-1.5938153,0.3131828,-1.1718127,-1.1326153,-0.25761205,0.25378704,0.25772974,-0.08649813,-0.8883008,0.32917023,-0.026120186,0.26438615,-3.8439045,-0.3395375,-4.147026,0.79098845,-0.2260396,0.16649252,-0.5436209,0.03947544,-0.5661297,0.6778289,-4.470119,-0.048752014,-4.7441053,-0.2896948,-0.5400095,0.41344276,-0.6262144,0.2907855,-0.5970795,1,0,0,0,0,0,0,0
-0.85626346,-0.6791261,-0.5137939,0.1317713,0.1872177,0.22862338,-0.55990297,0.37007794,-1.7110084,1.7259516,1.2818534,0.8669595,-1.5794505,0.27800307,0.37851712,-1.7082883,1.7339712,1.280876,0.8635195,-1.5877489,0.29289067,-1.2131891,-1.179076,-0.7653433,0.14921112,0.25393826,0.3139309,-0.8373537,0.2646532,-0.03153801,0.1961838,-3.8511791,-0.25946653,-4.0968957,0.7847365,-0.21217434,0.16408569,-0.55879027,-0.03502655,-0.5669422,0.5967141,-4.470119,-0.048752014,-4.907819,-0.29967976,-0.5354042,0.40053028,-0.61893994,0.21071452,-0.8109229,1,0,0,0,0,0,0,0
-0.8108667,0.120773524,-0.57423824,-0.15173449,0.20323457,0.321431,-0.49124935,0.3507786,-1.7041569,1.7139266,1.2739905,0.8734514,-1.5675528,0.26202455,0.35865214,-1.726522,1.7148609,1.2791556,0.8689962,-1.5789028,0.27528247,-1.1043063,-0.9621039,-1.2262865,-0.35851324,0.25447163,0.49059692,-0.7174176,0.20082521,-0.03542757,0.1280961,-3.7948928,-0.14369126,-4.148856,0.7779876,-0.19457756,0.16762258,-0.57339126,-0.10952854,-0.56775475,0.51287067,-4.470119,-0.048752014,-5.0715322,-0.31035376,-0.5323272,0.38477457,-0.6752263,0.09493925,-0.9226759,1,0,0,0,0,0,0,0
