timestamp,body_id,pos_opt_x,pos_opt_y,pos_opt_z,pos_world_x,pos_world_y,pos_world_z,pos_smooth_x,pos_smooth_y,pos_smooth_z,vel_x,vel_y,vel_z,qx,qy,qz,qw
3499658700.046833,1,0.704277,0.528573,-1.418517,2.201517,-0.704277,1.103573,2.185110,-0.693796,1.110438,0.303015,0.102599,0.751669,-0.715749,-0.431018,-0.510403,-0.203505
3499658700.148837,1,0.688081,0.538282,-1.399726,2.182726,-0.688081,1.113282,2.189281,-0.696466,1.110440,0.592672,0.042940,0.610216,-0.594980,0.083109,0.350777,0.718365
3499658700.222207,1,0.704180,0.528574,-1.418567,2.201567,-0.704180,1.103574,2.188616,-0.691417,1.112157,0.230041,0.301912,0.423581,-0.716221,-0.428951,-0.511215,-0.204173
3499658700.637347,1,0.689046,0.541270,-1.398907,2.181907,-0.689046,1.116270,2.189117,-0.694117,1.109921,0.267177,-0.021452,-0.034488,-0.593614,0.189721,0.277426,0.731207
3499658700.669895,1,0.704693,0.531170,-1.397860,2.180860,-0.704693,1.106170,2.193439,-0.696447,1.108659,0.277222,0.001226,-0.118730,-0.885229,-0.450444,-0.109082,0.039644
3499658700.731061,1,0.710052,0.545359,-1.402266,2.185266,-0.710052,1.120359,2.191122,-0.696168,1.107737,0.167091,-0.316714,-0.294666,-0.822329,0.248018,0.185439,-0.477363
3499658700.893524,1,0.701897,0.528902,-1.389522,2.172522,-0.701897,1.103902,2.185941,-0.699979,1.112873,-0.499860,-0.235453,0.280934,0.325728,0.357226,0.704355,0.519784
3499658700.904838,1,0.689346,0.534418,-1.397738,2.180738,-0.689346,1.109418,2.179224,-0.698256,1.113147,-0.793237,-0.139193,0.360692,-0.453708,-0.019155,0.573511,0.681812
3499658701.004447,1,0.704306,0.528619,-1.418507,2.201507,-0.704306,1.103619,2.177533,-0.696477,1.110710,-0.570365,0.243471,-0.065187,-0.714752,-0.432330,-0.510872,-0.203053
3499658701.111235,1,0.688498,0.541981,-1.398670,2.181670,-0.688498,1.116981,2.181444,-0.694529,1.108166,-0.299772,0.363313,-0.313771,-0.578578,0.194142,0.270828,0.744452
3499658701.162107,1,0.704092,0.531013,-1.396729,2.179729,-0.704092,1.106013,2.184088,-0.692351,1.106680,0.324310,0.393606,-0.431159,-0.886571,-0.453823,-0.077933,0.044312
3499658701.228824,1,0.702906,0.526328,-1.396603,2.179603,-0.702906,1.101328,2.186740,-0.697603,1.109054,0.613812,-0.075085,-0.110393,-0.945186,-0.271126,-0.005350,-0.181892
3499658701.256414,1,0.682970,0.524850,-1.399666,2.182666,-0.682970,1.099850,2.187131,-0.698900,1.109590,0.379110,-0.291379,0.094936,-0.447483,-0.259421,0.759424,0.394633
3499658701.323704,1,0.705124,0.527096,-1.400749,2.183749,-0.705124,1.102096,2.183300,-0.697617,1.106634,-0.052569,-0.351042,-0.003027,-0.967325,-0.207318,0.001465,-0.145946
3499658701.376517,1,0.680420,0.532344,-1.394425,2.177425,-0.680420,1.107344,2.179523,-0.697816,1.103799,-0.481105,-0.014142,-0.350391,-0.550824,-0.179195,0.399714,0.710430
3499658701.413224,1,0.685024,0.540906,-1.402889,2.185889,-0.685024,1.115906,2.180720,-0.696927,1.099704,-0.427405,0.131552,-0.659067,-0.289844,0.019882,0.501982,0.814622
3499658701.472322,1,0.683563,0.526786,-1.401909,2.184909,-0.683563,1.101786,2.181618,-0.690699,1.104473,-0.112077,0.461183,-0.144059,-0.479519,-0.053332,0.546396,0.684594
3499658701.506962,1,0.701193,0.526349,-1.398507,2.181507,-0.701193,1.101349,2.182872,-0.685487,1.107570,0.223212,0.821912,0.251446,-0.996812,0.077240,0.019349,-0.005137
3499658701.525534,1,0.691950,0.552723,-1.396982,2.179982,-0.691950,1.127723,2.183128,-0.688008,1.105777,0.160545,0.594561,0.404853,-0.245367,0.441288,-0.012995,0.863071
3499658701.544837,1,0.701973,0.529403,-1.389138,2.172138,-0.701973,1.104403,2.183771,-0.685960,1.109916,0.143472,0.315958,0.362857,0.321305,0.358384,0.703604,0.522748
3499658701.577962,1,0.700994,0.526290,-1.398191,2.181191,-0.700994,1.101290,2.181750,-0.693314,1.110960,-0.074797,-0.521793,0.225973,-0.996763,0.076786,0.022349,-0.008301
3499658701.727049,1,0.689071,0.541089,-1.400254,2.183254,-0.689071,1.116089,2.178179,-0.698482,1.108277,-0.329945,-0.698267,0.166665,-0.677551,0.229108,0.420119,0.558511
3499658701.762570,1,0.701650,0.522076,-1.400196,2.183196,-0.701650,1.097076,2.177623,-0.698659,1.112357,-0.409846,-0.846617,0.162713,-0.918925,-0.336260,-0.086850,-0.186987
3499658701.839984,1,0.704583,0.530845,-1.398111,2.181111,-0.704583,1.105845,2.179285,-0.696308,1.109142,-0.164300,-0.199640,-0.121164,-0.958343,-0.144689,-0.007476,-0.246148
3499658701.896276,1,0.701973,0.529526,-1.388944,2.171944,-0.701973,1.104526,2.182142,-0.698628,1.103289,0.264228,-0.009720,-0.332541,0.320263,0.359256,0.702841,0.523815
3499658701.928809,1,0.709887,0.538102,-1.401552,2.184552,-0.709887,1.113102,2.181647,-0.698031,1.104456,0.268262,0.041852,-0.526724,-0.729556,0.334778,-0.591503,0.076135
3499658702.057907,1,0.701956,0.529663,-1.389055,2.172055,-0.701956,1.104663,2.191268,-0.695730,1.107778,0.901771,0.695886,0.221170,0.320719,0.356295,0.703742,0.524348
3499658702.121220,1,0.704439,0.528721,-1.418563,2.201563,-0.704439,1.103721,2.184065,-0.689390,1.108792,0.037715,1.218088,0.201155,-0.714016,-0.431800,-0.512820,-0.201857
