ball_vx,ball_vy,ball_vz
-2.04251,-0.345918,1.40515
-2.39091,-0.415771,1.4248
-2.07991,-0.332166,1.51313
-2.29869,-0.404857,1.61377
-2.62483,-0.212435,1.72643
-2.30874,-0.446659,1.7198
-3.16697,-2.00493,1.85483
-2.31977,-0.265431,1.9438
-1.3549,0.399673,3.65061
-2.66644,-0.325833,1.99715
-2.60445,-0.289017,2.14619
-2.98886,-0.398785,2.1463
-3.85989,-0.975411,0.681926
-1.41941,0.364688,3.96588
-2.47145,-0.304186,2.35021
-2.92598,-0.289047,2.87473
-3.98391,-0.985184,1.05708
-2.69445,-0.309801,2.7647
-1.85841,0.354711,5.06536
-2.93246,-0.37317,2.94516
-3.74145,-1.02517,0.972704
-2.99978,1.09589,3.96884
-6.3155,-1.1447,9.36627
0,3.21664e-06,0
