pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,eep_vel_x,eep_vel_y,eep_vel_z,ee_vel_offset_x,ee_vel_offset_y,ee_vel_offset_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.29741,-0.656629,-2.33108,-0.739538,2.18431,1.75095,-1.33385,1.29741,-0.656629,-2.33108,-0.739538,2.18431,1.75095,-1.33385,1.37546,-0.688986,-2.26169,-0.796187,2.20314,1.69767,-1.30106,-0.900786,0.564097,-1.1677,0.940992,-0.369144,0.890024,-0.624268,-0.900786,0.564097,-1.1677,0.940992,-0.369144,0.890024,-0.624268,0.14311,-0.522162,0.89551,0.910936,-0.1986,0.188658,0.308482,-0.780591,0.13846,0.337739,-0.71651,0.198103,0.287505,1.08651,-1.84493,0.0571017,-0.00394583,-0.000846386,0.00296831,-0.00394583,-0.000106863,0.00296831,-0.780518,0.323564,-0.693848,0.566496,-0.188291,0.532821,-0.327948,1
1.29047,-0.664904,-2.3435,-0.730172,2.17677,1.76172,-1.34019,1.29047,-0.664904,-2.3435,-0.730172,2.17677,1.76172,-1.34019,1.36677,-0.683245,-2.27315,-0.786768,2.19948,1.70672,-1.30724,-0.856529,0.580682,-1.13191,0.954582,-0.360822,0.909905,-0.617102,-0.856529,0.580682,-1.13191,0.954582,-0.360822,0.909905,-0.617102,0.136165,-0.519943,0.898451,0.91227,-0.205968,0.195337,0.295269,-0.748664,0.179027,0.354706,-0.685701,0.239086,0.301919,1.08651,-1.84492,0.0570827,0.000464916,0.00089407,-0.00189543,0.000464916,-0.000294617,-0.00189543,-0.762983,0.183404,-0.70346,0.565954,-0.227095,0.550041,-0.329548,1
1.28424,-0.6904,-2.35591,-0.718768,2.16534,1.7742,-1.34737,1.28424,-0.6904,-2.35591,-0.718768,2.16534,1.7742,-1.34737,1.35799,-0.677571,-2.28483,-0.777237,2.19618,1.71614,-1.31342,-0.893967,0.55107,-1.19373,0.942106,-0.320039,0.952916,-0.618048,-0.893967,0.55107,-1.19373,0.942106,-0.320039,0.952916,-0.618048,0.129146,-0.517607,0.901337,0.913317,-0.213428,0.201954,0.281984,-0.773825,0.169629,0.326521,-0.708003,0.226008,0.27242,1.08651,-1.84491,0.057123,-0.000441074,0.00129938,0.00402331,-0.000441074,-0.000115803,0.00402331,-0.737546,-0.128293,-0.710812,0.584688,-0.308449,0.58059,-0.339551,1
1.27965,-0.71315,-2.36845,-0.706746,2.15357,1.78611,-1.35669,1.27965,-0.71315,-2.36845,-0.706746,2.15357,1.78611,-1.35669,1.34925,-0.672414,-2.29668,-0.767859,2.19326,1.7258,-1.31957,-0.851807,0.50764,-1.16627,0.943125,-0.294671,0.971563,-0.613039,-0.851807,0.50764,-1.16627,0.943125,-0.294671,0.971563,-0.613039,0.122143,-0.515418,0.903891,0.914117,-0.220658,0.208399,0.268832,-0.748932,0.175466,0.308916,-0.68506,0.229429,0.254275,1.08654,-1.84488,0.0571217,0.00281334,0.00296831,-0.00012517,0.00281334,0.000163487,-0.00012517,-0.69604,-0.407354,-0.717697,0.611132,-0.396824,0.603105,-0.371275,1
1.27953,-0.721641,-2.38021,-0.694204,2.14315,1.80056,-1.36683,1.27953,-0.721641,-2.38021,-0.694204,2.14315,1.80056,-1.36683,1.34071,-0.667782,-2.30871,-0.758451,2.18988,1.73565,-1.32569,-0.87212,0.438637,-1.22821,0.938978,-0.355837,0.996418,-0.613303,-0.87212,0.438637,-1.22821,0.938978,-0.355837,0.996418,-0.613303,0.115314,-0.513332,0.906112,0.914592,-0.227705,0.215058,0.255778,-0.759846,0.148487,0.259721,-0.689558,0.197812,0.203198,1.08654,-1.8449,0.0570967,-0.000107288,-0.00221729,-0.0025034,-0.000107288,0.000560284,-0.0025034,-0.611774,-0.538598,-0.715023,0.642466,-0.467237,0.649059,-0.411398,1
1.27536,-0.72387,-2.39238,-0.684047,2.14234,1.81114,-1.37323,1.27536,-0.72387,-2.39238,-0.684047,2.14234,1.81114,-1.37323,1.33201,-0.663565,-2.32088,-0.748948,2.18558,1.7459,-1.33191,-0.854365,0.430508,-1.20299,0.958582,-0.460455,1.03024,-0.625532,-0.854365,0.430508,-1.20299,0.958582,-0.460455,1.03024,-0.625532,0.108532,-0.511284,0.908026,0.914713,-0.23471,0.222189,0.242579,-0.734834,0.173547,0.257099,-0.660707,0.223143,0.196004,1.08649,-1.84493,0.0571037,-0.00427961,-0.00319481,0.000703335,-0.00427961,0.000245231,0.000703335,-0.566486,-0.603053,-0.714981,0.649008,-0.432338,0.65244,-0.413139,1
1.26672,-0.724418,-2.40457,-0.67599,2.14868,1.82,-1.37779,1.26672,-0.724418,-2.40457,-0.67599,2.14868,1.82,-1.37779,1.32364,-0.65963,-2.33285,-0.739134,2.17984,1.75662,-1.33832,-0.84081,0.365336,-1.20458,0.980837,-0.615698,1.09305,-0.64853,-0.84081,0.365336,-1.20458,0.980837,-0.615698,1.09305,-0.64853,0.102114,-0.509052,0.909755,0.914315,-0.241963,0.22988,0.229427,-0.718137,0.167035,0.21811,-0.637914,0.215428,0.152064,1.08652,-1.84492,0.0570765,0.00293255,0.00158548,-0.00271797,0.00293255,8.81297e-05,-0.00271797,-0.569263,-0.647878,-0.717234,0.631443,-0.311605,0.633857,-0.39469,1
1.25856,-0.727143,-2.41568,-0.667396,2.14561,1.83042,-1.38546,1.25856,-0.727143,-2.41568,-0.667396,2.14561,1.83042,-1.38546,1.31519,-0.656773,-2.34517,-0.72916,2.17229,1.76788,-1.34519,-0.841769,0.267303,-1.2348,1.00658,-0.802349,1.13608,-0.702245,-0.841769,0.267303,-1.2348,1.00658,-0.802349,1.13608,-0.702245,0.0957844,-0.507239,0.910765,0.913548,-0.248938,0.238356,0.215976,-0.713778,0.134994,0.158999,-0.624743,0.179202,0.0883566,1.08648,-1.84492,0.0571283,-0.00476837,-0.000488758,0.00517368,-0.00476837,-0.000259706,0.00517368,-0.566299,-0.7037,-0.70514,0.617635,-0.266891,0.625361,-0.402649,1
1.25226,-0.730049,-2.42714,-0.662329,2.13866,1.84309,-1.39744,1.25226,-0.730049,-2.42714,-0.662329,2.13866,1.84309,-1.39744,1.30728,-0.654598,-2.35708,-0.718739,2.16325,1.77983,-1.35266,-0.773145,0.197109,-1.1805,1.04336,-0.931878,1.21771,-0.758632,-0.773145,0.197109,-1.1805,1.04336,-0.931878,1.21771,-0.758632,0.0898381,-0.505414,0.911427,0.912259,-0.256213,0.247188,0.202574,-0.67034,0.137546,0.127931,-0.580625,0.182142,0.0522962,1.08654,-1.84493,0.0571106,0.00683069,-0.000524521,-0.0017643,0.00683069,-0.000566244,-0.0017643,-0.550109,-0.754508,-0.700631,0.564096,-0.245878,0.632547,-0.447704,1
1.24566,-0.73102,-2.43781,-0.655216,2.14544,1.85631,-1.40784,1.24566,-0.73102,-2.43781,-0.655216,2.14544,1.85631,-1.40784,1.29948,-0.653561,-2.36933,-0.70787,2.15418,1.79213,-1.3604,-0.787455,0.072818,-1.23553,1.1169,-0.872205,1.23666,-0.773193,-0.787455,0.072818,-1.23553,1.1169,-0.872205,1.23666,-0.773193,0.0837408,-0.504069,0.911565,0.91075,-0.263208,0.255924,0.189101,-0.716385,0.0866383,0.081417,-0.626577,0.124299,0.00663201,1.08651,-1.84492,0.0571042,-0.00324249,0.000452995,-0.00064373,-0.00324249,-0.000618185,-0.00064373,-0.53819,-0.774592,-0.684765,0.526545,-0.0873823,0.64178,-0.474408,1
