ball_x,ball_y,ball_z
0.710738,0.591177,-1.54608
0.710848,0.591295,-1.54595
0.710841,0.591211,-1.54599
0.710844,0.591294,-1.54593
0.710944,0.591259,-1.54606
0.710947,0.591149,-1.54604
0.710873,0.59122,-1.54585
0.710753,0.591233,-1.54599
0.710867,0.591329,-1.5459
0.710971,0.591177,-1.54572
0.710687,0.591372,-1.54586
0.710989,0.591608,-1.54593
0.710676,0.591504,-1.54598
0.710699,0.591721,-1.54593
0.710708,0.591269,-1.54601
0.710807,0.591159,-1.54568
0.710762,0.591245,-1.54589
0.710871,0.591216,-1.54585
0.710673,0.591407,-1.54599
0.710787,0.59121,-1.54586
0.710836,0.59119,-1.54581
0.711,0.591124,-1.54574
0.710737,0.591206,-1.54584
0.710635,0.591317,-1.54584
0.710751,0.591185,-1.5458
0.710814,0.591227,-1.54598
0.710885,0.591083,-1.54576
0.710778,0.591207,-1.54598
0.710632,0.59119,-1.54581
0.71065,0.59146,-1.54587
0.710788,0.591205,-1.546
0.710759,0.591204,-1.54594
0.710879,0.591236,-1.54601
0.711,0.592004,-1.54597
0.710779,0.591228,-1.54594
0.710939,0.591175,-1.54601
0.710714,0.591175,-1.54602
0.710788,0.591301,-1.54598
0.710812,0.59122,-1.54602
0.710904,0.591164,-1.54595
0.710873,0.591212,-1.54591
0.710837,0.591235,-1.54606
0.710747,0.591285,-1.54595
0.710676,0.591214,-1.54591
0.710959,0.591263,-1.54605
0.710734,0.59124,-1.54599
0.710683,0.591343,-1.54582
0.710753,0.591192,-1.5461
0.710744,0.591065,-1.54589
0.710787,0.591241,-1.54603
0.710837,0.591149,-1.54601
0.71088,0.591662,-1.54586
0.710768,0.591076,-1.54582
0.710692,0.591163,-1.54584
0.7108,0.591233,-1.54597
0.711051,0.591301,-1.54593
0.711025,0.591215,-1.54563
0.711034,0.591633,-1.54593
0.710818,0.591301,-1.54598
0.710902,0.591299,-1.546
0.710697,0.591284,-1.54604
0.710921,0.591191,-1.54587
0.710776,0.591232,-1.54599
0.71091,0.591248,-1.54602
0.710883,0.591186,-1.54584
0.710976,0.591435,-1.54595
0.710691,0.591084,-1.546
0.71079,0.591228,-1.54597
0.710645,0.590883,-1.54575
0.710985,0.591322,-1.5459
0.710897,0.591746,-1.54577
0.710912,0.591147,-1.54596
0.710765,0.591219,-1.54588
0.710731,0.591206,-1.54597
0.710845,0.591172,-1.54599
0.71092,0.591207,-1.54597
0.710918,0.591193,-1.54588
0.71068,0.591379,-1.54585
0.710851,0.591157,-1.54603
0.71098,0.591306,-1.54606
0.710824,0.591422,-1.54592
0.710735,0.591484,-1.54577
0.710865,0.591191,-1.54597
0.710917,0.59148,-1.54591
0.710791,0.59123,-1.54584
0.710851,0.591376,-1.54574
0.710861,0.59125,-1.54594
0.710792,0.591333,-1.54596
0.71091,0.591263,-1.54597
0.710898,0.591228,-1.5459
0.710958,0.591166,-1.54581
0.710827,0.5914,-1.54578
0.710866,0.591232,-1.54589
0.710881,0.591259,-1.54601
0.711008,0.591276,-1.5462
0.710886,0.591296,-1.54592
0.710998,0.591095,-1.54576
0.710878,0.591314,-1.54591
0.710708,0.591647,-1.54606
0.710834,0.591308,-1.54591
0.710917,0.591097,-1.54592
0.710853,0.591353,-1.54598
0.711031,0.59139,-1.54592
0.710741,0.591213,-1.54585
0.710912,0.591157,-1.54595
0.710851,0.59135,-1.54586
0.710751,0.591228,-1.54586
0.71086,0.591292,-1.54596
0.710761,0.591217,-1.54596
0.710896,0.591249,-1.54586
0.710872,0.591226,-1.54601
0.710834,0.591288,-1.54601
0.710949,0.591379,-1.54589
0.710849,0.591748,-1.54601
0.710874,0.591303,-1.54579
0.710906,0.591113,-1.5457
0.711002,0.591202,-1.54589
0.710903,0.591753,-1.54598
0.710825,0.591216,-1.54592
0.710965,0.591227,-1.54598
0.711018,0.591155,-1.54586
0.710977,0.591236,-1.54589
0.710914,0.591299,-1.54591
0.710789,0.590894,-1.5458
0.71092,0.591068,-1.54589
0.710948,0.591219,-1.54587
0.710952,0.591189,-1.54591
0.710953,0.591394,-1.54594
0.710967,0.591192,-1.54608
0.710791,0.591093,-1.54592
0.710676,0.591513,-1.54597
0.710923,0.591171,-1.54572
0.711019,0.591179,-1.54577
0.71094,0.591306,-1.54605
0.710793,0.591271,-1.54602
0.710895,0.591276,-1.54595
0.710983,0.59128,-1.54583
0.71082,0.591311,-1.54599
0.710971,0.591417,-1.54586
0.710983,0.591295,-1.54612
0.71089,0.591399,-1.54588
0.710865,0.591369,-1.54583
0.711004,0.59116,-1.54575
0.710873,0.59127,-1.54596
0.710867,0.591387,-1.54587
0.711097,0.591359,-1.54581
0.710888,0.591227,-1.54592
0.710958,0.591344,-1.54599
0.710908,0.591518,-1.54592
0.710844,0.591538,-1.54585
0.711064,0.591195,-1.54589
0.71071,0.591381,-1.54611
0.7109,0.591299,-1.546
0.710773,0.591169,-1.54591
0.710831,0.591362,-1.54594
0.710796,0.59135,-1.54587
0.711035,0.59166,-1.54592
0.710764,0.591337,-1.54597
0.710957,0.59173,-1.5457
0.71091,0.591081,-1.54583
0.7108,0.591177,-1.5459
0.710843,0.591136,-1.54603
0.710876,0.591259,-1.54597
0.710966,0.591238,-1.5459
0.710872,0.591139,-1.54576
0.710835,0.591019,-1.54601
0.710815,0.591332,-1.54601
0.710766,0.590871,-1.54588
0.710921,0.591246,-1.54598
0.710897,0.591227,-1.54593
0.710871,0.591183,-1.54597
0.710688,0.591234,-1.54601
0.710958,0.591109,-1.54573
0.710814,0.5912,-1.54604
0.710829,0.591352,-1.54612
0.710761,0.591237,-1.54592
0.710761,0.59107,-1.54586
0.710732,0.59128,-1.54593
0.710738,0.591063,-1.54606
0.710944,0.591247,-1.54579
0.710801,0.591178,-1.54607
0.710912,0.591137,-1.54608
0.710891,0.591207,-1.54593
0.710726,0.591044,-1.54572
0.710837,0.591463,-1.54603
0.710926,0.591277,-1.54589
0.710775,0.591303,-1.54593
0.710904,0.591194,-1.546
0.710824,0.591184,-1.546
0.710673,0.59121,-1.54597
0.710857,0.591303,-1.54586
0.710825,0.591322,-1.54594
0.71077,0.591224,-1.54591
0.71094,0.591214,-1.54588
0.710865,0.591211,-1.54597
0.710988,0.591225,-1.5458
0.710787,0.591156,-1.54602
0.710822,0.591322,-1.54591
0.710949,0.591282,-1.54577
0.710874,0.591148,-1.54578
0.710884,0.591618,-1.54571
0.710882,0.591297,-1.5459
0.710786,0.59118,-1.54585
0.710811,0.591255,-1.54593
0.710768,0.591216,-1.54586
0.710707,0.591209,-1.54595
0.710808,0.59117,-1.54603
0.710859,0.59114,-1.54576
0.710774,0.591219,-1.54602
0.710842,0.591565,-1.54591
0.710844,0.591401,-1.54605
0.710748,0.591394,-1.54591
0.710949,0.591125,-1.54608
0.71083,0.591505,-1.54572
0.710799,0.591221,-1.54587
0.710822,0.591259,-1.5459
0.710806,0.591267,-1.54604
0.710846,0.591226,-1.54584
0.711145,0.591224,-1.54572
0.710825,0.591205,-1.54591
0.710816,0.591319,-1.54594
0.710767,0.591445,-1.54587
0.710874,0.591188,-1.54601
0.710726,0.591248,-1.54595
0.710809,0.591223,-1.54587
0.710811,0.59139,-1.54604
0.710793,0.591258,-1.54593
0.710735,0.591316,-1.54576
0.710903,0.591219,-1.54584
0.710912,0.591245,-1.54588
0.710929,0.591291,-1.54567
0.710642,0.591542,-1.54591
