ball_qw,ball_qx,ball_qy,ball_qz
0.999813,-0.0137567,-0.000793022,-0.013543
0.999767,-0.0153225,-0.00148277,-0.0151143
0.999814,-0.0137067,-0.00227024,-0.0133538
0.99983,-0.0131324,0.000485647,-0.0129143
0.999763,-0.0157935,-0.00117446,-0.0149514
0.999761,-0.0159758,-0.00176815,-0.0148427
0.999787,-0.0150254,-0.00205561,-0.0140332
0.999801,-0.0133569,-0.000861078,-0.0147847
0.999786,-0.014324,-0.00261316,-0.0147282
0.999772,-0.0144419,-0.000909658,-0.015675
0.999745,-0.0160398,-0.00394034,-0.0153779
0.999821,-0.0135155,-0.00160154,-0.0131522
0.999816,-0.0135106,-0.00173032,-0.0134852
0.999769,-0.0149915,-0.00190726,-0.0152993
0.999803,-0.0135304,-0.00182176,-0.0144114
0.999753,-0.0152,-0.00130732,-0.0161699
0.99977,-0.0159794,-0.00194429,-0.0141826
0.999835,-0.0131725,-0.00154081,-0.0124438
0.999783,-0.0145993,-0.0029403,-0.0145533
0.999785,-0.0138955,-0.00188025,-0.0152562
0.999806,-0.0134713,-0.000829793,-0.0143516
0.999813,-0.0125147,-0.000917735,-0.014703
0.999763,-0.0153376,-0.00248229,-0.0152528
0.999805,-0.01427,-0.000589201,-0.0136497
0.99973,-0.0176164,-0.000844301,-0.015121
0.999814,-0.014049,-0.000763978,-0.0131806
0.999818,-0.0141867,-0.000469552,-0.0127267
0.999837,-0.0123588,-0.000815211,-0.0131721
0.999935,-0.00898095,0.0047871,-0.0051608
0.999683,-0.0174906,-0.00141749,-0.0180512
0.999852,-0.0139013,0.00228091,-0.00986951
0.999822,-0.0133682,-0.000940919,-0.0132689
0.999783,-0.0145327,-0.00198949,-0.0148261
0.999794,-0.0136825,-0.000653092,-0.0150005
0.999751,-0.0154681,-0.00284789,-0.0158637
0.999669,-0.0170998,-0.0013098,-0.0191632
0.999659,-0.0180635,-0.0027351,-0.0186819
0.99941,-0.0231427,-0.00313574,-0.0251889
0.999786,-0.0147121,-0.00191936,-0.0144004
0.999846,-0.0136013,-0.000675766,-0.0110956
0.999872,-0.0114777,-0.0012066,-0.0110521
0.999665,-0.01736,-0.00304126,-0.0189405
0.999848,-0.0123099,-0.00160404,-0.0122694
0.999759,-0.0156241,-0.00368959,-0.0149808
0.99981,-0.0137148,-0.00175262,-0.0137468
0.999751,-0.0150196,-0.00154882,-0.0164509
0.999749,-0.0156449,-0.00200525,-0.0159028
0.99983,-0.0137574,-0.000743949,-0.0122961
0.999809,-0.0140045,-0.00139984,-0.0135842
0.999831,-0.0141061,-0.00246707,-0.0115175
0.999781,-0.0136975,-0.00228407,-0.0156829
0.999798,-0.0142371,-0.00108329,-0.0141756
0.999828,-0.0137037,-0.000351324,-0.0124825
0.999759,-0.0140395,-0.000829891,-0.016853
0.999658,-0.0177949,-0.00356453,-0.0188076
0.999741,-0.0159658,-0.00195727,-0.0161191
