action_0,action_1,action_2,action_3,action_4,action_5,action_6
0.648629,-0.135532,0.591516,0.57409,0.524118,0.584409,-0.238276
0.645161,-0.12244,0.590997,0.568672,0.529494,0.57785,-0.248397
0.655246,0.102828,0.597094,0.547346,0.524775,0.517366,-0.19934
0.672857,0.342745,0.608591,0.536542,0.525463,0.414346,-0.137265
0.667639,0.42145,0.603408,0.589521,0.540428,0.288076,-0.14704
0.663599,0.453635,0.605076,0.597812,0.548378,0.101914,-0.087484
0.680004,0.485698,0.614918,0.577833,0.555281,-0.0832076,-0.0140723
0.680501,0.456486,0.61409,0.552751,0.55653,-0.0676695,0.0246347
0.684219,0.478131,0.613822,0.515769,0.549396,-0.179012,0.0324808
0.693628,0.50868,0.616024,0.512593,0.536845,-0.240586,0.0604583
0.703154,0.537778,0.616456,0.510666,0.514802,-0.191273,0.104985
0.691893,0.403292,0.607657,0.493067,0.383513,-0.103103,-0.0482168
0.670842,0.0792565,0.596656,0.427407,0.0890829,0.0899193,-0.199382
0.6429,-0.320667,0.585852,0.32303,-0.200581,-0.0343946,-0.259609
0.625178,-0.505542,0.579719,0.29053,-0.238975,0.0170751,-0.306187
0.622714,-0.547843,0.563314,0.304123,-0.18929,0.0156755,-0.308434
0.616183,-0.549845,0.547479,0.299965,-0.195221,0.0163072,-0.304414
0.609605,-0.513016,0.543653,0.288897,-0.228665,-0.0565002,-0.294148
0.602885,-0.402539,0.569222,0.318728,-0.271889,-0.103687,-0.255337
0.601123,-0.181862,0.560959,0.350059,-0.248624,-0.0788181,-0.201896
0.602046,0.100613,0.550581,0.383055,-0.214602,-0.0422866,-0.149315
0.595668,0.161649,0.541737,0.413317,-0.242235,-0.0260554,-0.132596
0.587045,0.144695,0.532614,0.443807,-0.30292,-0.0505113,-0.129048
0.576624,0.0895824,0.524652,0.458845,-0.362727,-0.120212,-0.127283
0.569418,0.0115955,0.516857,0.465519,-0.413123,-0.216151,-0.124487
0.567278,-0.0722688,0.512025,0.459364,-0.434288,-0.292407,-0.125703
0.568421,-0.0911326,0.510313,0.44737,-0.446783,-0.340919,-0.124185
0.563783,-0.126488,0.509445,0.429259,-0.462455,-0.366861,-0.119839
0.554401,-0.219447,0.507921,0.414977,-0.494815,-0.375147,-0.124437
0.54116,-0.310313,0.505236,0.407743,-0.536028,-0.37081,-0.135639
0.53005,-0.380318,0.506232,0.403957,-0.562172,-0.34007,-0.164625
0.519648,-0.433444,0.50831,0.417491,-0.5812,-0.29859,-0.205774
0.503677,-0.500509,0.506707,0.434577,-0.609328,-0.217037,-0.254841
0.496797,-0.573157,0.495007,0.4339,-0.628538,-0.00242937,-0.314264
0.49874,-0.596798,0.499085,0.42213,-0.628411,0.128397,-0.340981
0.502715,-0.606847,0.50634,0.408995,-0.621974,0.187603,-0.353854
0.504617,-0.619842,0.501166,0.39882,-0.628479,0.231557,-0.365725
0.504882,-0.622777,0.492044,0.396752,-0.643743,0.232342,-0.370178
0.499077,-0.614845,0.492361,0.39815,-0.652987,0.182649,-0.365745
0.484908,-0.579749,0.505962,0.388387,-0.643829,-0.0522436,-0.324423
0.470459,-0.509379,0.504869,0.363422,-0.621967,-0.270916,-0.24711
0.474441,-0.47109,0.496925,0.378847,-0.618936,-0.292291,-0.21853
0.478396,-0.452141,0.489285,0.406499,-0.625301,-0.30365,-0.209693
0.477196,-0.454345,0.493229,0.411274,-0.626469,-0.320729,-0.217286
