pure_target_joint_0,pure_target_joint_1,pure_target_joint_2,pure_target_joint_3,pure_target_joint_4,pure_target_joint_5,pure_target_joint_6,target_joint_0,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6,pos_joint_0,pos_joint_1,pos_joint_2,pos_joint_3,pos_joint_4,pos_joint_5,pos_joint_6,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,vel_joint_6,vel_smooth_joint_0,vel_smooth_joint_1,vel_smooth_joint_2,vel_smooth_joint_3,vel_smooth_joint_4,vel_smooth_joint_5,vel_smooth_joint_6,ee_pos_x,ee_pos_y,ee_pos_z,ee_or_w,ee_or_x,ee_or_y,ee_or_z,ee_vel_x,ee_vel_y,ee_vel_z,ee_vel_offset_x,ee_vel_offset_y,ee_vel_offset_z,ball_pos_x,ball_pos_y,ball_pos_z,ball_raw_vx,ball_raw_vy,ball_raw_vz,ball_ema_vx,ball_ema_vy,ball_ema_vz,action_0,action_1,action_2,action_3,action_4,action_5,action_6,command_published
1.71933,-1.00329,-1.79754,-1.14629,2.07841,1.26519,-0.970651,1.71933,-1.00329,-1.79754,-1.14629,2.07841,1.26519,-0.970651,1.78288,-1.07727,-1.8161,-1.13522,2.01158,1.20318,-0.93988,0.126431,0.00304392,-0.0203368,0.410295,0.989817,1.07706,-0.0919768,0.126431,0.00304392,-0.0203368,0.410295,0.989817,1.07706,-0.0919768,0.521487,-0.457194,0.692329,0.572297,0.153273,0.107025,0.798454,-0.158333,-0.153499,0.149438,-0.222959,-0.180752,0.174824,-0.140416,-0.158607,-0.0865441,0.0114441,0.00729859,0.00532866,0.0114441,0.14813,0.00532866,-0.635552,0.739823,0.185564,-0.110779,0.668388,0.620114,-0.307708,1
1.72436,-1.00305,-1.78652,-1.15116,2.08853,1.2772,-0.973541,1.72436,-1.00305,-1.78652,-1.15116,2.08853,1.2772,-0.973541,1.78487,-1.07774,-1.81552,-1.12964,2.02283,1.2131,-0.942509,0.219498,-0.0705975,0.0792738,0.582899,1.18242,0.978669,-0.330218,0.219498,-0.0705975,0.0792738,0.582899,1.18242,0.978669,-0.330218,0.519353,-0.459435,0.694383,0.574143,0.149131,0.0994657,0.798891,-0.140517,-0.196826,0.177442,-0.210794,-0.236557,0.203392,-0.140469,-0.158405,-0.086501,-0.00529289,0.0201523,0.00430346,-0.00529289,0.182366,0.00430346,-0.605138,0.746899,0.290026,-0.215229,0.65705,0.641032,-0.310315,1
1.7276,-1.00354,-1.7804,-1.14471,2.10168,1.2891,-0.977542,1.7276,-1.00354,-1.7804,-1.14471,2.10168,1.2891,-0.977542,1.78697,-1.07826,-1.81494,-1.12459,2.03609,1.22331,-0.947571,0.189706,-0.0223501,0.0453473,0.458578,1.36918,1.04377,-0.5556,0.189706,-0.0223501,0.0453473,0.458578,1.36918,1.04377,-0.5556,0.5172,-0.461753,0.696277,0.5766,0.145175,0.0911516,0.798842,-0.151541,-0.179052,0.16428,-0.223844,-0.223351,0.189147,-0.140444,-0.158362,-0.0865024,0.00247955,0.00429749,-0.00013113,0.00247955,0.186542,-0.00013113,-0.593741,0.747231,0.345395,-0.201215,0.655848,0.65798,-0.299711,1
1.7293,-1.00053,-1.7847,-1.12449,2.11519,1.30144,-0.985727,1.7293,-1.00053,-1.7847,-1.12449,2.11519,1.30144,-0.985727,1.78764,-1.07618,-1.81348,-1.12269,2.05049,1.2345,-0.953963,0.00974295,0.298304,0.19432,0.0797052,1.44571,1.13774,-0.657152,0.00974295,0.298304,0.19432,0.0797052,1.44571,1.13774,-0.657152,0.514464,-0.462763,0.699206,0.578996,0.140378,0.0831842,0.798835,-0.217335,-0.0190386,0.307758,-0.295102,-0.0521354,0.333057,-0.140554,-0.158484,-0.0864969,-0.0110269,-0.0121713,0.000548363,-0.0110269,0.15765,0.000548363,-0.58344,0.756558,0.287733,-0.0179385,0.647042,0.66935,-0.317641,1
1.72039,-0.995622,-1.80418,-1.11579,2.12999,1.31077,-0.994903,1.72039,-0.995622,-1.80418,-1.11579,2.12999,1.31077,-0.994903,1.78502,-1.07157,-1.81027,-1.12507,2.0647,1.24629,-0.960566,-0.365463,0.485434,0.350902,-0.339397,1.40672,1.19282,-0.654815,-0.365463,0.485434,0.350902,-0.339397,1.40672,1.19282,-0.654815,0.510551,-0.46271,0.703134,0.581129,0.134846,0.07592,0.798963,-0.348416,0.0310629,0.366047,-0.426637,0.00505838,0.390032,-0.137915,-0.167221,-0.0783428,0.263965,-0.87367,0.815403,0.263965,0.0030012,0.815403,-0.646238,0.759481,0.0608938,0.0928172,0.652852,0.644752,-0.343373,1
1.71116,-0.990458,-1.82668,-1.11051,2.14091,1.32137,-1.00119,1.71116,-0.990458,-1.82668,-1.11051,2.14091,1.32137,-1.00119,1.77897,-1.06684,-1.80576,-1.13017,2.07822,1.25817,-0.966816,-0.667698,0.465181,0.481383,-0.541375,1.33603,1.1852,-0.613075,-0.667698,0.465181,0.481383,-0.541375,1.33603,1.1852,-0.613075,0.505452,-0.463057,0.706868,0.583299,0.12947,0.0687476,0.79892,-0.456645,-0.0221772,0.346113,-0.534199,-0.049566,0.368198,-0.137936,-0.167424,-0.0782382,-0.00212193,-0.0203192,0.0104606,-0.00212193,-0.155496,0.0104606,-0.678152,0.763862,-0.209257,0.196687,0.626908,0.631971,-0.343779,1
1.70189,-0.986221,-1.8339,-1.10917,2.15003,1.33287,-1.00497,1.70189,-0.986221,-1.8339,-1.10917,2.15003,1.33287,-1.00497,1.77089,-1.06256,-1.80159,-1.13501,2.09103,1.26987,-0.972806,-0.83938,0.41927,0.371263,-0.439799,1.26209,1.16278,-0.598586,-0.83938,0.41927,0.371263,-0.439799,1.26209,1.16278,-0.598586,0.499482,-0.464609,0.710207,0.586331,0.124391,0.0616906,0.798083,-0.53906,-0.16322,0.300145,-0.613315,-0.192224,0.319637,-0.137822,-0.16764,-0.07817,0.0113368,-0.0216261,0.00681877,0.0113368,-0.192842,0.00681877,-0.689988,0.763385,-0.323072,0.258424,0.590048,0.629997,-0.321604,1
1.69515,-0.981381,-1.83829,-1.10268,2.15948,1.344,-1.01003,1.69515,-0.981381,-1.83829,-1.10268,2.15948,1.344,-1.01003,1.7634,-1.05808,-1.79997,-1.13776,2.10329,1.28121,-0.979033,-0.688933,0.46759,0.10124,-0.207107,1.21584,1.13152,-0.634586,-0.688933,0.46759,0.10124,-0.207107,1.21584,1.13152,-0.634586,0.493678,-0.466845,0.713181,0.590454,0.119636,0.0554794,0.796225,-0.493195,-0.193249,0.283443,-0.561696,-0.216958,0.300313,-0.13773,-0.1678,-0.0781786,0.00921488,-0.0159338,-0.000852346,0.00921488,-0.198851,-0.000852346,-0.682565,0.767027,-0.383209,0.350837,0.561927,0.627979,-0.310005,1
1.69015,-0.975262,-1.84417,-1.09427,2.16906,1.35511,-1.01682,1.69015,-0.975262,-1.84417,-1.09427,2.16906,1.35511,-1.01682,1.75803,-1.05233,-1.80117,-1.13766,2.1154,1.29261,-0.985644,-0.509558,0.611158,-0.213159,0.0740848,1.2095,1.14158,-0.667362,-0.509558,0.611158,-0.213159,0.0740848,1.2095,1.14158,-0.667362,0.488442,-0.468967,0.716512,0.595505,0.114527,0.0502834,0.793554,-0.453448,-0.20587,0.318833,-0.518919,-0.220692,0.334299,-0.137617,-0.16734,-0.0784994,0.0113368,0.0459969,-0.0320852,0.0113368,-0.164222,-0.0320852,-0.678806,0.770692,-0.430077,0.433871,0.536627,0.624942,-0.311798,1
1.6844,-0.967712,-1.85227,-1.08797,2.17782,1.36489,-1.02487,1.6844,-0.967712,-1.85227,-1.08797,2.17782,1.36489,-1.02487,1.75343,-1.04522,-1.80609,-1.13544,2.12742,1.30413,-0.992235,-0.441896,0.74062,-0.563461,0.25068,1.19652,1.16093,-0.6508,-0.441896,0.74062,-0.563461,0.25068,1.19652,1.16093,-0.6508,0.483332,-0.47151,0.719803,0.601753,0.109471,0.0463627,0.789784,-0.448379,-0.245871,0.314631,-0.507478,-0.252367,0.328149,-0.13764,-0.167192,-0.0785788,-0.00232458,0.0147074,-0.00793338,-0.00232458,-0.0954949,-0.00793338,-0.690265,0.775035,-0.461777,0.474726,0.503959,0.607597,-0.32637,1
