pure_actions_0,pure_actions_1,pure_actions_2,pure_actions_3,pure_actions_4,pure_actions_5,pure_actions_6,action_history_actor_0,action_history_actor_1,action_history_actor_2,action_history_actor_3,action_history_actor_4,action_history_actor_5,action_history_actor_6,action_history_actor_7,action_history_actor_8,action_history_actor_9,action_history_actor_10,action_history_actor_11,action_history_actor_12,action_history_actor_13,dof_pos_scaled_0,dof_pos_scaled_1,dof_pos_scaled_2,dof_pos_scaled_3,dof_pos_scaled_4,dof_pos_scaled_5,dof_pos_scaled_6,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,tennisball_pos_0,tennisball_pos_1,tennisball_pos_2,end_effector_pos_0,end_effector_pos_1,end_effector_pos_2,tennisball_lin_vel_0,tennisball_lin_vel_1,tennisball_lin_vel_2,end_effector_rot_0,end_effector_rot_1,end_effector_rot_2,end_effector_rot_3,end_effector_lin_vel_0,end_effector_lin_vel_1,end_effector_lin_vel_2,to_final_target_0,to_final_target_1,to_final_target_2,to_throwing_pos_0,to_throwing_pos_1,to_throwing_pos_2,to_throwing_vel_0,to_throwing_vel_1,to_throwing_vel_2,obs_task_0,obs_task_1,obs_task_2,obs_task_3,obs_task_4,obs_task_5,obs_task_6
0.7864865,-0.5376306,-0.6061781,-0.48421103,0.8419667,-0.6225803,0.95511603,0.78533506,-0.53513235,-0.60944784,-0.48035628,0.8392666,-0.59933794,0.9552703,0.7864865,-0.5376306,-0.6061781,-0.48421103,0.8419667,-0.6225803,0.95511603,0.28542137,-0.018063128,0.43384814,0.5856228,0.5513023,-0.42673874,0.5205343,0.2892828,-0.18151683,-0.22303009,-0.11701393,0.14255714,0.036008835,0.096437454,0.70385766,-0.1404903,0.20408852,0.32324648,-0.33936,0.9093868,-0.50809926,0.0434162,0.63897336,-0.028597519,-0.021778202,0.028394112,0.7934007,-0.031666502,0.5985959,-0.10580836,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.78740984,-0.53877896,-0.6021754,-0.49005866,0.8444739,-0.6071116,0.9548318,0.7864865,-0.5376306,-0.6061781,-0.48421103,0.8419667,-0.6225803,0.95511603,0.78740984,-0.53877896,-0.6021754,-0.49005866,0.8444739,-0.6071116,0.9548318,0.2870133,-0.019498587,0.43262196,0.5846329,0.5520953,-0.42651337,0.5210576,0.29286003,-0.18641335,-0.22557259,-0.12854385,0.1458683,0.029268265,0.099098206,0.6996236,-0.1401285,0.20935158,0.32225275,-0.34008145,0.91040796,-0.50809926,0.0434162,0.6315668,-0.02971024,-0.021823676,0.030406442,0.795074,-0.030577334,0.5967192,-0.10415688,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7880302,-0.53858656,-0.59720224,-0.49835876,0.8469462,-0.5680074,0.9545229,0.78740984,-0.53877896,-0.6021754,-0.49005866,0.8444739,-0.6071116,0.9548318,0.7880302,-0.53858656,-0.59720224,-0.49835876,0.8469462,-0.5680074,0.9545229,0.28862226,-0.02096641,0.43138576,0.58356416,0.5529052,-0.42633486,0.52159405,0.29596424,-0.1905874,-0.22740555,-0.13877296,0.14900208,0.0231781,0.10158157,0.6953895,-0.1397667,0.21455292,0.32122946,-0.34080243,0.9114868,-0.50809926,0.0434162,0.6241603,-0.030618167,-0.021836057,0.03213562,0.79678506,-0.02953601,0.5947799,-0.10246028,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7883856,-0.5371222,-0.59137845,-0.50775075,0.8492569,-0.50930905,0.9542327,0.7880302,-0.53858656,-0.59720224,-0.49835876,0.8469462,-0.5680074,0.9545229,0.7883856,-0.5371222,-0.59137845,-0.50775075,0.8492569,-0.50930905,0.9542327,0.29024553,-0.022460938,0.43014276,0.58242357,0.55373096,-0.4261971,0.5221429,0.298625,-0.19407225,-0.22864723,-0.14811516,0.15189934,0.017886162,0.103946686,0.69115543,-0.1394049,0.21969254,0.32018232,-0.34152246,0.91261685,-0.50809926,0.0434162,0.61675376,-0.031337798,-0.021805845,0.033646733,0.79852843,-0.028538534,0.59278387,-0.100722596,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7885297,-0.53496194,-0.58480066,-0.517568,0.85144836,-0.42694893,0.9539592,0.7883856,-0.5371222,-0.59137845,-0.50775075,0.8492569,-0.50930905,0.9542327,0.7885297,-0.53496194,-0.58480066,-0.517568,0.85144836,-0.42694893,0.9539592,0.2918812,-0.023977399,0.42889595,0.5812173,0.55457115,-0.4260931,0.52270365,0.3009014,-0.19692147,-0.22935677,-0.15662956,0.15456009,0.013510704,0.10619354,0.68692136,-0.1390431,0.22477044,0.31911755,-0.34223986,0.9137919,-0.50809926,0.0434162,0.6093472,-0.03189049,-0.021739062,0.03498681,0.8002988,-0.027580483,0.5907372,-0.09894756,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.78854847,-0.532605,-0.57756895,-0.52744734,0.8535365,-0.30600792,0.95369476,0.7885297,-0.53496194,-0.58480066,-0.517568,0.85144836,-0.42694893,0.9539592,0.78854847,-0.532605,-0.57756895,-0.52744734,0.8535365,-0.30600792,0.95369476,0.29352736,-0.025511563,0.4276482,0.57995105,0.55542517,-0.42601383,0.52327573,0.30282307,-0.19921267,-0.22953415,-0.16443443,0.15710258,0.0102882385,0.10832214,0.6826873,-0.13868129,0.22978662,0.3180375,-0.34295535,0.91500646,-0.50809926,0.0434162,0.60194063,-0.03229674,-0.021656351,0.036187842,0.80209196,-0.026655743,0.58864397,-0.097139426,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7885596,-0.53058106,-0.569879,-0.5371725,0.8554672,-0.10704361,0.95342404,0.78854847,-0.532605,-0.57756895,-0.52744734,0.8535365,-0.30600792,0.95369476,0.7885596,-0.53058106,-0.569879,-0.5371725,0.8554672,-0.10704361,0.95342404,0.2951826,-0.027059853,0.4264021,0.57862866,0.5562924,-0.42594576,0.5238583,0.30447865,-0.20104563,-0.22923851,-0.17170715,0.15952682,0.008839607,0.11033249,0.6784532,-0.13831949,0.23474108,0.3169489,-0.34366846,0.91625845,-0.50809926,0.0434162,0.5945341,-0.032581855,-0.021605097,0.037279774,0.8039053,-0.025755486,0.58650637,-0.09530585,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7887804,-0.5299382,-0.56198174,-0.5464245,0.8571067,0.19099876,0.9531156,0.7885596,-0.53058106,-0.569879,-0.5371725,0.8554672,-0.10704361,0.95342404,0.7887804,-0.5299382,-0.56198174,-0.5464245,0.8571067,0.19099876,0.9531156,0.29684556,-0.028619766,0.42516017,0.5772549,0.55717146,-0.42587042,0.524451,0.30592728,-0.20255524,-0.22846985,-0.1783886,0.16171455,0.009785652,0.11222458,0.67421913,-0.13795769,0.2396338,0.31585312,-0.344383,0.9175436,-0.50809926,0.0434162,0.5871275,-0.032778945,-0.021655357,0.038285036,0.80573547,-0.024865026,0.5843269,-0.09345648,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7892502,-0.5313235,-0.553341,-0.5553182,0.85850465,0.39676464,0.9527709,0.7887804,-0.5299382,-0.56198174,-0.5464245,0.8571067,0.19099876,0.9531156,0.7892502,-0.5313235,-0.553341,-0.5553182,0.85850465,0.39676464,0.9527709,0.29851544,-0.030189991,0.4239242,0.57583284,0.5580621,-0.42577523,0.52505326,0.30716896,-0.20390432,-0.22734642,-0.18465614,0.16384315,0.012357712,0.11405754,0.66998506,-0.13759589,0.2444648,0.31475496,-0.34510136,0.9188595,-0.50809926,0.0434162,0.5797209,-0.032908723,-0.02178077,0.0392003,0.807581,-0.023974497,0.5821064,-0.09159755,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.78896743,-0.5324522,-0.5416587,-0.56764126,0.8608356,0.5028927,0.9526397,0.7892502,-0.5313235,-0.553341,-0.5553182,0.85850465,0.39676464,0.9527709,0.78896743,-0.5324522,-0.5416587,-0.56764126,0.8608356,0.5028927,0.9526397,0.3001908,-0.031769574,0.42269707,0.5743644,0.5589634,-0.42565435,0.5256647,0.3082037,-0.20512176,-0.22574997,-0.19068718,0.16579437,0.015698433,0.11577225,0.665751,-0.13723409,0.24923408,0.31365347,-0.345824,0.92020476,-0.50809926,0.0434162,0.5723143,-0.03297188,-0.021898616,0.040072042,0.80944043,-0.023080485,0.57984626,-0.089731276,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
